dict,L,k1,root_signal,dhatupatha_source,gana,pada,transitivity,causative,set,anit,vet,anubandhas,gloss_snippet
krm,2002,hiqi,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-268. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
krm,2003,hila,annotation,(annotation-only),tudadi,parasmaipada,akarmaka,0,1,0,0,,(VI<s>-tudAdiH</s>-1361. <s>aka</s>. <s>sew</s>. <s>para</s>
krm,2004,hivi,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-591. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,2005,hizka,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1686. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,2006,hisi,annotation,(annotation-only),rudhadi,parasmaipada,sakarmaka,0,1,0,0,,(VII<s>-ruDAdiH</s>-1456. <s>saka</s>. <s>sew</s>. <s>para</
krm,2007,hisi,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1830. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,2008,hu,annotation,(annotation-only),juhotyadi,parasmaipada,sakarmaka,0,0,1,0,,(III<s>-juhotyAdiH</s>-1083. <s>saka</s>. <s>aniw</s>. <s>pa
krm,2009,huqi,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-269. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
krm,2010,huqf,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-352. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,2011,hurCA,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-211. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,2012,hula,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-844. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,2013,hUqf,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-353. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,2016,hfza,annotation,(annotation-only),divadi,parasmaipada,akarmaka,0,1,0,0,,(IV<s>-divAdiH</s>-1229. <s>aka</s>. <s>sew</s>. <s>para</s>
