dict,L,k1,quote
ap,18525,nArAyaRaH,UrUdBavA narasaKasya muneH surastrI
ap,18629,nikAyyaH,pAyyasAnnAyyanikAyyaDAyyAH
ap,18783.026,niDivAsaH,niDivAsakara-paramAnanda-prakASitAyAM … saMhitAyAM … … .
ap,18897,niyamaH,ko'yaM niyamaH . aniyatasya niyatatA .
ap,19238.086,niSAmuKam,pradozo rajanImuKam
ap,19284,nizAdaH,brAhmaRAdvESyakanyAyAmambazWo
ap,19334,nizkrayaH,nizkrayo budDiyoge syAt sAmarTye nirgatAvapi
ap,19431.030,nIcagfham,svOccAttu yAmitramuSanti nIcam
ap,19606.002,nEzWikaH,nEzWiko brahmacArI
ap,19732.150,paYcatapas,havirBujAmeDavatAM caturRAM maDye lalAwaMtapasaptasaptiH
ap,19866.028,patrAlambanam,patrAlambanaM karoti
ap,19886.024,pajjaH,padByAM SUdro ajAyata
ap,19937.226,parabrahman,lIne pare brahmaRi
ap,19938.002,parakIyA,aprakawaparapuruzAnurAgA parakIyA . sA ca dviDA . paroQA kanyakA ca .
ap,20125,parigrahaH,patnIparijanAdAnamUlaSApAH
ap,20357,pariBAzA,aDikAraSabdena pArArTyAt pariBAzApyucyate . kaScit pariBAzArUpa
ap,20640,parihAraH,jAte viSezezu parezu cEva
ap,20876,paSuH,"nfpaSu, narapaSu"
ap,20888,paSyantI,vEKarI SabdanizpattirmaDyamA SrutigocarA .
ap,20977.058,pARipAtra,pARiH pAtraM
ap,21372.024,piRqiSUraH,"gehenardin, geheSUra"
ap,21607,puruzaH,tvAmAmananti prakftiM puruzArTapravartinIm
ap,21652.106,puzpaDaH,vrAtyAt tu
ap,21721,pUrvavat,ye hi pUrvavanto viditapUrvamarTamaBivadanti te aviDAnArTAH
ap,21981,pra,pra AdikarmadIrGeSaBfSasaMBavatfptiviyogaSudDiSaktIcCASAntipUjAgradarSanezu
ap,22464,pratipattiH,eza hi nyAyo yadanyatra kftArTamanyatra pratipAdyata iti
ap,22464,pratipattiH,pratipattiSca viviktakaraRena upakaroti
ap,22529,pratiBAgaH,zazWAMSavftterapi Darma ezaH
ap,22649,pratiSrut,‘astu SrOzaqityAgnIDraH pratyASrAvayati’
ap,22735,pratIta,pratItaH sAdare jYAte hfzwapraKyAtayoH trizu
ap,23161.002,praBuH,samIkzya praBavastrayaH
ap,23383.002,pravaraH,"paYca˚, tri˚"
ap,24313,PalinI,miTunaM parikalpitaM tvayA sahakAraH PalinI ca nanvimO
ap,24490,baliH,"sItA, BAgo, baliH"
ap,24490,baliH,Calayasi vikamaRe balimadButavAmana
ap,24530.277,bahuvrIhiH,anyapadArTapraDAno bahuvrIhiH
ap,24622.036,bAhujaH,bAhU rAjanyaH kftaH
ap,24805.026,brAhmamuhUrtaH,brAhme muhUrte
ap,25030.020,BAgyAyatta,BAgyezu SezamAyattaM dfzwapUrvaM
ap,25036,BAj,na kevalaM
ap,25226,Buvanam,atalaM sutalaM cEva vitalaM ca gaBastimat .
ap,25269,BftiH,kAlamAnaM triDA jYeyaM cAndraM sOraM
ap,25362,BOjyam,"vErAjya, svArAjya"
