dict,view,rule,units,segments,descents_raw,descent_rate_raw,descents,descent_rate,displaced,displaced_rate
mw,print,M-m/Hi-pos/Hf-drop/G-degem,198568,1,17308,0.087165,17308,0.087165,59594,0.300119
mw,print,M-m/Hi-sib/Hf-slot/G-keep,198568,1,17374,0.087497,17374,0.087497,59946,0.301892
mw,print,M-m/Hi-sib/Hf-slot/G-degem,198568,1,17379,0.087522,17379,0.087522,59956,0.301942
mw,print,M-m/Hi-sib/Hf-s/G-keep,198568,1,17422,0.087739,17422,0.087739,59988,0.302103
mw,print,M-m/Hi-sib/Hf-s/G-degem,198568,1,17427,0.087764,17427,0.087764,59998,0.302153
mw,print,M-m/Hi-sib/Hf-drop/G-keep,198568,1,17381,0.087532,17381,0.087532,59957,0.301947
mw,print,M-m/Hi-sib/Hf-drop/G-degem,198568,1,17386,0.087557,17386,0.087557,59967,0.301997
mw,print,M-m/Hi-s/Hf-slot/G-keep,198568,1,17394,0.087598,17394,0.087598,60080,0.302566
mw,print,M-m/Hi-s/Hf-slot/G-degem,198568,1,17399,0.087623,17399,0.087623,60090,0.302617
mw,print,M-m/Hi-s/Hf-s/G-keep,198568,1,17370,0.087477,17370,0.087477,60095,0.302642
mw,print,M-m/Hi-s/Hf-s/G-degem,198568,1,17375,0.087502,17375,0.087502,60105,0.302692
mw,print,M-m/Hi-s/Hf-drop/G-keep,198568,1,17401,0.087633,17401,0.087633,60086,0.302597
mw,print,M-m/Hi-s/Hf-drop/G-degem,198568,1,17406,0.087658,17406,0.087658,60096,0.302647
mw,print,ascii,198568,23,77180,0.388685,77158,0.388617,180693,0.90998
mw,print,roman,198568,3841,67116,0.338002,63276,0.324947,106342,0.535544
mw,main,M-pos/Hi-pos/Hf-slot/G-keep,32683,1,1049,0.032097,1049,0.032097,1542,0.04718
mw,main,M-pos/Hi-pos/Hf-slot/G-degem,32683,1,1050,0.032128,1050,0.032128,1543,0.047211
mw,main,M-pos/Hi-pos/Hf-s/G-keep,32683,1,1055,0.032281,1055,0.032281,1548,0.047364
mw,main,M-pos/Hi-pos/Hf-s/G-degem,32683,1,1056,0.032311,1056,0.032311,1549,0.047395
mw,main,M-pos/Hi-pos/Hf-drop/G-keep,32683,1,1051,0.032158,1051,0.032158,1544,0.047242
mw,main,M-pos/Hi-pos/Hf-drop/G-degem,32683,1,1052,0.032189,1052,0.032189,1545,0.047272
mw,main,M-pos/Hi-sib/Hf-slot/G-keep,32683,1,1063,0.032526,1063,0.032526,1590,0.048649
mw,main,M-pos/Hi-sib/Hf-slot/G-degem,32683,1,1064,0.032556,1064,0.032556,1591,0.04868
mw,main,M-pos/Hi-sib/Hf-s/G-keep,32683,1,1069,0.032709,1069,0.032709,1596,0.048833
mw,main,M-pos/Hi-sib/Hf-s/G-degem,32683,1,1070,0.03274,1070,0.03274,1597,0.048863
mw,main,M-pos/Hi-sib/Hf-drop/G-keep,32683,1,1065,0.032587,1065,0.032587,1592,0.04871
mw,main,M-pos/Hi-sib/Hf-drop/G-degem,32683,1,1066,0.032617,1066,0.032617,1593,0.048741
mw,main,M-pos/Hi-s/Hf-slot/G-keep,32683,1,1083,0.033138,1083,0.033138,1615,0.049414
mw,main,M-pos/Hi-s/Hf-slot/G-degem,32683,1,1084,0.033168,1084,0.033168,1616,0.049445
mw,main,M-pos/Hi-s/Hf-s/G-keep,32683,1,1087,0.03326,1087,0.03326,1621,0.049598
mw,main,M-pos/Hi-s/Hf-s/G-degem,32683,1,1088,0.03329,1088,0.03329,1622,0.049628
mw,main,M-pos/Hi-s/Hf-drop/G-keep,32683,1,1085,0.033199,1085,0.033199,1617,0.049475
mw,main,M-pos/Hi-s/Hf-drop/G-degem,32683,1,1086,0.033229,1086,0.033229,1618,0.049506
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,32683,1,928,0.028395,928,0.028395,999,0.030566
mw,main,M-nasal/Hi-pos/Hf-slot/G-degem,32683,1,929,0.028425,929,0.028425,1000,0.030597
mw,main,M-nasal/Hi-pos/Hf-s/G-keep,32683,1,933,0.028548,933,0.028548,1004,0.030719
mw,main,M-nasal/Hi-pos/Hf-s/G-degem,32683,1,934,0.028578,934,0.028578,1005,0.03075
mw,main,M-nasal/Hi-pos/Hf-drop/G-keep,32683,1,929,0.028425,929,0.028425,1000,0.030597
mw,main,M-nasal/Hi-pos/Hf-drop/G-degem,32683,1,930,0.028456,930,0.028456,1001,0.030628
mw,main,M-nasal/Hi-sib/Hf-slot/G-keep,32683,1,942,0.028823,942,0.028823,1047,0.032035
mw,main,M-nasal/Hi-sib/Hf-slot/G-degem,32683,1,943,0.028854,943,0.028854,1048,0.032066
mw,main,M-nasal/Hi-sib/Hf-s/G-keep,32683,1,947,0.028976,947,0.028976,1052,0.032188
mw,main,M-nasal/Hi-sib/Hf-s/G-degem,32683,1,948,0.029007,948,0.029007,1053,0.032219
mw,main,M-nasal/Hi-sib/Hf-drop/G-keep,32683,1,943,0.028854,943,0.028854,1048,0.032066
mw,main,M-nasal/Hi-sib/Hf-drop/G-degem,32683,1,944,0.028884,944,0.028884,1049,0.032096
mw,main,M-nasal/Hi-s/Hf-slot/G-keep,32683,1,962,0.029435,962,0.029435,1072,0.0328
mw,main,M-nasal/Hi-s/Hf-slot/G-degem,32683,1,963,0.029466,963,0.029466,1073,0.032831
mw,main,M-nasal/Hi-s/Hf-s/G-keep,32683,1,965,0.029527,965,0.029527,1077,0.032953
mw,main,M-nasal/Hi-s/Hf-s/G-degem,32683,1,966,0.029558,966,0.029558,1078,0.032984
mw,main,M-nasal/Hi-s/Hf-drop/G-keep,32683,1,963,0.029466,963,0.029466,1073,0.032831
mw,main,M-nasal/Hi-s/Hf-drop/G-degem,32683,1,964,0.029496,964,0.029496,1074,0.032861
mw,main,M-nasal_m/Hi-pos/Hf-slot/G-keep,32683,1,1099,0.033627,1099,0.033627,1698,0.051954
mw,main,M-nasal_m/Hi-pos/Hf-slot/G-degem,32683,1,1100,0.033658,1100,0.033658,1699,0.051984
mw,main,M-nasal_m/Hi-pos/Hf-s/G-keep,32683,1,1103,0.033749,1103,0.033749,1703,0.052107
mw,main,M-nasal_m/Hi-pos/Hf-s/G-degem,32683,1,1104,0.03378,1104,0.03378,1704,0.052137
mw,main,M-nasal_m/Hi-pos/Hf-drop/G-keep,32683,1,1099,0.033627,1099,0.033627,1698,0.051954
mw,main,M-nasal_m/Hi-pos/Hf-drop/G-degem,32683,1,1100,0.033658,1100,0.033658,1699,0.051984
mw,main,M-nasal_m/Hi-sib/Hf-slot/G-keep,32683,1,1113,0.034055,1113,0.034055,1746,0.053422
mw,main,M-nasal_m/Hi-sib/Hf-slot/G-degem,32683,1,1114,0.034086,1114,0.034086,1747,0.053453
mw,main,M-nasal_m/Hi-sib/Hf-s/G-keep,32683,1,1117,0.034178,1117,0.034178,1751,0.053575
mw,main,M-nasal_m/Hi-sib/Hf-s/G-degem,32683,1,1118,0.034208,1118,0.034208,1752,0.053606
