ref_id,parvan,verse,headword_slp1,marker,confidence,edition_ref,evidence_tier,bori_locus,verdict,cascade_tier,retrieved_form_slp1,quote
PWG-L101574-MBH1.8274,1,8274,Sri,st.,medium,,quote-exact,"01,218.41",confirmed,local-GRETIL,BayAdraRaM parityajya SakramevABiSiSriyuH,"〉 {%sich flüchten zu%}: {#BayAdraRaM parityajya SakramevABiSiSriyuH#} MBH. 1,8274. st. {#˚Sritya#} SĀV. 6,6 liest MBH. 3,16863 besser {#˚sftya#}. <div n="
PWG-L88101-MBH1.8343,1,8343,var,fehlerhaft,high,,quote-exact,"01,220.13",confirmed,local-GRETIL,tava lokAH samAvftAH,"MBH. 3,10329. {#tava lokAH samAvftAH#} {%verschlossen für dich%} 1,8343. — {#samAvfta#} R. GORR. 2,83,1 fehlerhaft für {#samAvftta#}. — {#ud#} {%weit öffnen, aufreissen%} (die Augen): {#kroDAdu"
PWG-L53862-MBH1.12683,1,12683,Baj,zu lesen,high,Bomb,quote-exact,"01,77.3",confirmed,local-GRETIL,saMviBajya,"nnapAnESca saMviBajya#} MBH. 1,3399. 3. 12683 (wo mit der ed. Bomb. {#saMviBajya#} zu lesen ist). KATHĀS. 25,17. 38,90. R. GORR. 2,32,11. <ls"
PWG-L86295-MBH10.84,10,84,lAlasa,zu lesen,high,Bomb,quote-exact,"07,68.44",confirmed,local-GRETIL,SucIn jawilAnanAn,"Mal%} ⏑ ⏑ ⏑ ⏑ ⏑ ⏑ – ⏑ – –, ⏑ – – ⏑ – – ⏑ – Ind. St. 8,397. — MBH. 10,84 ist mit der ed. Bomb. {#nAlasaH#} st. {#lAlasaH#} zu lesen; 7,3383 hat die ed. Bomb. {#SucIn jawilAnanAn#} (vgl."
PWG-L104451-MBH10.128,10,128,sadvftta,st.,medium,,quote-exact,"01,82.10",confirmed,local-GRETIL,satAM vfttam,"{%das Benehmen Guter, gutes Betragen, ein [Page7-0616] guter Wandel%} MBH. 10,128 (st. dessen {#satAM vfttam#} 127). {#˚rahita#} R. GORR. 1,6,13. {#˚kuSala#} <ls"
PWG-L55050-MBH11.97,11,97,Buj,st.,medium,Bomb,quote-exact,"11,3.11",confirmed,local-GRETIL,pariBujyantam,"aM dvayam#} AK. 3,4,23,147. — st. {#pariBujyantam#} MBH. 11,97 liest die ed. Bomb. {#pariBfjjantam#}"
PWG-L49291-MBH11.146,11,146,prapAta,zu lesen,high,,quote-exact,"03,53.4",confirmed,local-GRETIL,vizamagniM,">3653; hier ist {#prapAtam#} wohl absolut.). {#vfkza˚#} 11,146. {#vizamagniM#} (so ist zu lesen) {#prapAtaM ca parvatAgrAdahaM vfRe#} 8,248. {#gaNgA˚#} HARIV. 5330"
PWG-L40314-MBH11.161,11,161,nisrava,zu lesen,high,,quote-exact,"11,6.11",confirmed,local-GRETIL,yAstu tA bahuSo DArAH sravanti maDunisravam,"MBH. 1,1138. {#yAstu tA bahuSo DArAH sravanti maDunisravam#} 11,161. {#varzaSItozRaniSravaH#} (sic) VĀYU-P._in_Verz. d. Oxf. H. 48,b,19. Vielleicht ist überall {#niHsrava#} (s. d.) zu lesen mit der Be"
PWG-L33995-MBH11.222,11,222,duzprasADana,zu lesen,high,,quote-exact,"11,8.28",confirmed,local-GRETIL,amarzI capalaScApi kroDano duzprasADanaH,"fertig zu werden ist%}: {#amarzI capalaScApi kroDano duzprasADanaH#} MBH. 11,222. Viell. ist {#duzprasAdanaH#} zu lesen."
PWG-L116085-MBH11.352,11,352,har,fehlerhaft,high,,quote-exact,"03,34.19",confirmed,local-GRETIL,praticikIrzatA,"sid. {%erwiedern —, vergelten wollen%}: {#vEraM pratijihIrzatA#} MBH. 11,352. wohl nur fehlerhaft für {#praticikIrzatA#}. — {#vi#} 1〉 {%auseinandernehmen, trennen, öffnen; vert"
PWG-L88101-MBH11.457,11,457,var,zu lesen,high,,quote-exact,"11,16.31",confirmed,local-GRETIL,vasuDAM vivftAmaDiSerate,"AK. 90,11. {#vasuDAM vivftAmaDiSerate#} {%auf der nackten Erde%} MBH. 11,457. {#prasuptfScAsi vivfte#} (so mit der neueren Ausg. zu lesen) dass. HARIV. 4823. {#taTA tEravakIrRasya divyErastrEH samanta"
PWG-L113520-MBH11.11021,11,11021,stana,zu lesen,high,Bomb,quote-exact,"12,288.30",confirmed,local-GRETIL,caturaH stanAn,"vavalgatuH#} 3,1824. 8,1560. fg. 11,11021 ({#caturaH stanAn#} mit der ed. Bomb. zu lesen). R. 2,43,16. SUŚR. 1,48,14. 321,18. <ls n=""SUŚR."
PWG-L90523-MBH12.389,12,389,vAS,st.,medium,Bomb,quote-exact,"12,14.6",confirmed,local-GRETIL,vAvASyamAna,"suBfSaM vAvASyante vayAMsi ca#} MBH. 6,111. {#vAvASyamAna#} 12,389 nach der Lesart der ed. Bomb. st. {#rArAsyamAna#} der ed. Calc. — {#anu#} {%ein Gebrüll%} u. s"
