parvan,cited_verse,pratika_folded_len,outcome,found_address,found_calibrated_N,delta,coverage
12,7183,13,probe-too-short,,,,
3,12693,39,retrieved,3.185.16,12693,0,1.0
5,992,60,retrieved,5.33.22,992,0,0.929
12,8630,45,retrieved,12.235.18,8512,118,1.0
12,3934,24,retrieved,12.106.6,3895,39,0.857
5,2688,37,retrieved,5.73.14,2688,0,1.0
3,8584,41,retrieved,3.97.15,8584,0,0.789
5,4929,80,retrieved,5.146.1,4859,70,1.0
4,1685,39,retrieved,4.54.26,1685,0,1.0
13,643,20,probe-too-short,,,,
1,5348,70,retrieved,1.135.2,5389,-41,0.896
1,5384,38,retrieved,1.136.6,5425,-41,1.0
1,3477,20,probe-too-short,,,,
3,17016,72,retrieved,3.303.19,17016,0,0.971
12,2155,39,retrieved,12.59.34,2155,0,1.0
2,2164,24,retrieved,2.65.24,2163,1,1.0
13,7166,27,retrieved,13.151.5,7166,0,0.708
1,7277,30,not-retrieved,,,,0.333
13,7166,20,probe-too-short,,,,
2,783,42,retrieved,2.20.16,783,0,1.0
12,1345,27,retrieved,12.37.2,1345,0,1.0
12,2045,16,probe-too-short,,,,
1,3576,20,probe-too-short,,,,
13,3302,59,retrieved,13.65.14,3302,0,1.0
15,861,43,retrieved,15.31.19,861,0,1.0
4,1482,19,probe-too-short,,,,
9,411,19,probe-too-short,,,,
5,2312,41,retrieved,5.58.18,2284,28,1.0
3,13287,50,retrieved,3.197.15,13287,0,1.0
18,12,38,retrieved,18.1.12,12,0,1.0
1,4677,33,retrieved,1.120.38,4677,0,0.733
5,6083,53,retrieved,5.177.1,6533,-450,1.0
1,2009,47,retrieved,1.50.49,2009,0,0.795
12,2963,37,retrieved,12.79.2,2963,0,1.0
12,3690,40,retrieved,12.100.9,3690,0,1.0
1,6259,37,retrieved,1.162.19,6316,-57,1.0
9,3217,28,retrieved,9.57.43,3203,14,0.92
1,3523,37,retrieved,1.85.24,3523,0,1.0
1,741,23,probe-too-short,,,,
5,1004,47,retrieved,5.33.34,1004,0,0.705
12,9974,19,probe-too-short,,,,
7,3958,37,retrieved,7.105.33,3953,5,0.735
7,1199,38,retrieved,7.27.5,1199,0,1.0
1,3656,17,probe-too-short,,,,
13,3426,27,retrieved,13.68.31,3425,1,0.875
14,1292,39,retrieved,14.46.34,1292,0,1.0
2,143,16,probe-too-short,,,,
1,1592,35,retrieved,1.37.4,1592,0,0.906
3,16307,41,retrieved,3.283.39,16307,0,1.0
3,9972,25,retrieved,3.110.5,9973,-1,0.909
5,1274,51,retrieved,5.36.15,1274,0,0.936
4,52,30,retrieved,4.2.25,52,0,0.889
1,4158,43,retrieved,1.103.13,4158,0,1.0
1,80,16,probe-too-short,,,,
5,4823,41,retrieved,5.142.11,4754,69,1.0
12,6055,19,probe-too-short,,,,
8,4409,11,probe-too-short,,,,
2,1420,31,retrieved,2.40.3,1423,-3,0.857
5,4154,29,retrieved,5.124.33,4097,57,1.0
2,663,39,retrieved,2.16.4,662,1,1.0
3,2700,38,retrieved,3.69.7,2700,0,1.0
12,1212,19,probe-too-short,,,,
12,661,39,retrieved,12.23.11,661,0,1.0
3,13349,26,retrieved,3.201.1,13502,-153,0.864
12,5332,36,retrieved,12.141.14,5278,54,1.0
3,13745,38,retrieved,3.207.45,13745,0,1.0
1,5969,40,retrieved,1.153.8,6019,-50,0.892
12,901,41,retrieved,12.29.9,902,-1,1.0
6,579,16,probe-too-short,,,,
12,6181,38,retrieved,12.166.62,6112,69,1.0
12,9861,30,retrieved,12.274.7,9711,150,0.889
6,76,18,probe-too-short,,,,
5,5771,36,retrieved,5.167.2,5704,67,1.0
6,29,41,retrieved,6.1.28,29,0,0.889
1,4140,19,probe-too-short,,,,
1,7573,13,probe-too-short,,,,
12,2037,40,retrieved,12.56.52,2037,0,1.0
7,762,46,retrieved,7.19.10,762,0,1.0
2,197,21,probe-too-short,,,,
5,1490,37,retrieved,5.39.45,1490,0,1.0
5,7193,16,probe-too-short,,,,
2,1141,39,retrieved,2.31.38,1142,-1,1.0
12,5424,20,probe-too-short,,,,
1,253,19,probe-too-short,,,,
4,998,16,probe-too-short,,,,
3,8828,42,retrieved,3.106.4,9686,-858,1.0
1,6318,15,probe-too-short,,,,
1,6851,76,retrieved,1.180.10,6915,-64,1.0
3,11988,48,retrieved,3.167.54,11988,0,0.9
12,10887,26,retrieved,12.296.27,10887,0,1.0
5,1789,18,probe-too-short,,,,
1,3090,40,retrieved,1.74.98,3085,5,1.0
5,3801,27,retrieved,5.110.1,3752,49,0.833
18,219,23,probe-too-short,,,,
12,1455,14,probe-too-short,,,,
12,773,34,retrieved,12.26.6,773,0,1.0
6,248,30,retrieved,6.6.52,247,1,0.704
12,8572,21,probe-too-short,,,,
7,1345,20,probe-too-short,,,,
3,1901,37,retrieved,3.47.23,1901,0,1.0
3,17156,26,retrieved,3.309.4,17156,0,0.696
3,1992,38,retrieved,3.51.27,1993,-1,1.0
12,2051,75,retrieved,12.57.5,2034,17,1.0
7,2865,38,retrieved,7.80.46,2865,0,1.0
8,810,16,probe-too-short,,,,
5,5158,41,retrieved,5.151.61,5081,77,1.0
5,7203,46,retrieved,5.181.3,7203,0,0.895
3,14774,41,retrieved,3.237.3,14774,0,1.0
5,219,18,probe-too-short,,,,
5,2041,37,retrieved,5.51.23,2041,0,1.0
13,2786,44,retrieved,13.53.33,2787,-1,1.0
3,12624,14,probe-too-short,,,,
3,13630,17,probe-too-short,,,,
14,805,38,retrieved,14.28.18,805,0,1.0
3,15562,12,probe-too-short,,,,
1,781,27,retrieved,1.3.118,783,-2,1.0
13,4538,17,probe-too-short,,,,
3,14317,21,probe-too-short,,,,
7,417,43,retrieved,7.11.36,417,0,1.0
7,1986,36,retrieved,7.51.5,1986,0,1.0
6,571,12,probe-too-short,,,,
3,16228,31,retrieved,3.282.32,16228,0,1.0
13,376,22,probe-too-short,,,,
12,8963,10,probe-too-short,,,,
8,1456,24,retrieved,8.34.3,1457,-1,1.0
12,12003,9,probe-too-short,,,,
5,1257,31,not-retrieved,,,,0.0
1,507,18,probe-too-short,,,,
3,16971,32,retrieved,3.301.13,16971,0,1.0
12,5553,76,retrieved,12.147.4,5497,56,1.0
5,4770,13,probe-too-short,,,,
5,1340,27,retrieved,5.37.7,1340,0,1.0
3,9981,40,retrieved,3.110.13,9981,0,0.919
1,2411,41,not-retrieved,,,,0.342
2,2667,41,retrieved,2.80.48,2667,0,1.0
5,5894,31,retrieved,5.171.2,5894,0,1.0
3,10277,27,retrieved,3.120.19,10341,-64,1.0
1,3745,13,probe-too-short,,,,
2,354,15,probe-too-short,,,,
1,5345,44,retrieved,1.134.34,5386,-41,1.0
14,1530,31,retrieved,14.52.53,1530,0,1.0
2,38,51,not-retrieved,,,,0.333
4,1784,38,retrieved,4.57.6,1785,-1,1.0
13,4980,41,retrieved,13.104.27,4981,-1,1.0
5,3003,41,retrieved,5.84.11,3003,0,1.0
2,2071,23,probe-too-short,,,,
1,2106,9,probe-too-short,,,,
4,866,41,retrieved,4.25.6,866,0,1.0
13,7614,47,retrieved,13.164.3,7614,0,1.0
15,418,44,retrieved,15.14.9,418,0,0.825
4,369,43,retrieved,4.13.44,368,1,1.0
5,3600,24,retrieved,5.101.15,3554,46,1.0
15,202,38,retrieved,15.5.33,202,0,1.0
4,695,19,probe-too-short,,,,
7,599,12,probe-too-short,,,,
13,5868,20,probe-too-short,,,,
1,8180,16,probe-too-short,,,,
12,2107,75,retrieved,12.58.16,2090,17,0.944
1,3590,40,retrieved,1.89.14,3590,0,1.0
3,17317,40,retrieved,3.313.31,17316,1,1.0
12,8658,82,retrieved,12.236.14,8540,118,0.942
5,2081,20,probe-too-short,,,,
3,8654,31,retrieved,3.99.38,8654,0,0.821
3,11230,20,probe-too-short,,,,
12,2173,44,retrieved,12.59.52,2173,0,1.0
8,222,29,retrieved,8.8.5,222,0,1.0
13,1715,17,probe-too-short,,,,
7,1571,19,probe-too-short,,,,
5,3042,37,retrieved,5.86.3,3042,0,1.0
8,1733,36,retrieved,8.37.27,1733,0,1.0
3,14250,20,probe-too-short,,,,
1,2855,27,retrieved,1.70.11,2854,1,0.833
5,1504,15,probe-too-short,,,,
12,8872,39,retrieved,12.243.19,8752,120,1.0
4,1322,38,retrieved,4.41.10,1320,2,1.0
12,3299,48,retrieved,12.87.38,3298,1,0.911
3,1150,74,retrieved,3.30.34,1150,0,1.0
12,458,11,probe-too-short,,,,
4,1341,14,probe-too-short,,,,
8,624,16,probe-too-short,,,,
13,983,46,retrieved,13.14.389,980,3,0.907
1,2793,36,retrieved,1.67.159,2795,-2,1.0
1,761,19,probe-too-short,,,,
3,10054,25,retrieved,3.112.4,10091,-37,1.0
4,1339,28,retrieved,4.42.15,1339,0,0.64
2,132,38,retrieved,2.4.38,133,-1,0.647
1,4506,41,retrieved,1.115.25,4506,0,1.0
3,2037,18,probe-too-short,,,,
13,7557,72,retrieved,13.162.25,7556,1,0.93
4,352,17,probe-too-short,,,,
9,1552,40,retrieved,9.28.53,1552,0,1.0
2,859,19,probe-too-short,,,,
12,2989,39,retrieved,12.80.7,2989,0,1.0
12,10307,15,probe-too-short,,,,
1,5324,22,probe-too-short,,,,
14,158,43,retrieved,14.7.6,158,0,1.0
3,10570,31,retrieved,3.131.10,10626,-56,0.893
8,1449,16,probe-too-short,,,,
6,4894,24,retrieved,6.107.9,4894,0,1.0
3,14010,38,retrieved,3.214.10,14022,-12,1.0
5,61,33,retrieved,5.3.21,61,0,0.9
3,11173,14,probe-too-short,,,,
7,2218,19,probe-too-short,,,,
7,3311,37,retrieved,7.92.51,3310,1,0.824
1,8054,41,retrieved,1.222.5,8137,-83,1.0
1,5307,14,probe-too-short,,,,
13,2634,29,retrieved,13.49.22,2634,0,1.0
1,5805,38,retrieved,1.147.8,5855,-50,1.0
1,7194,29,retrieved,1.193.21,7262,-68,1.0
5,3515,39,retrieved,5.97.15,3469,46,0.912
3,2785,12,probe-too-short,,,,
1,7082,23,probe-too-short,,,,
13,3945,15,probe-too-short,,,,
10,288,12,probe-too-short,,,,
5,1713,40,retrieved,5.44.30,1713,0,1.0
12,8559,38,retrieved,12.233.5,8442,117,1.0
5,3387,42,retrieved,5.95.4,3343,44,1.0
8,2369,32,retrieved,8.49.71,2369,0,0.897
5,4067,36,retrieved,5.121.19,4014,53,1.0
5,3990,18,probe-too-short,,,,
3,662,71,retrieved,3.16.4,662,0,0.881
3,11260,19,probe-too-short,,,,
1,591,23,probe-too-short,,,,
3,14197,17,probe-too-short,,,,
5,4477,78,retrieved,5.132.19,4413,64,1.0
5,2395,36,retrieved,5.61.14,2363,32,1.0
1,5610,19,probe-too-short,,,,
4,2016,22,probe-too-short,,,,
5,1577,26,retrieved,5.42.2,1576,1,1.0
14,2892,40,retrieved,14.92.45,2890,2,1.0
4,1462,18,probe-too-short,,,,
12,12038,18,probe-too-short,,,,
5,146,39,retrieved,5.7.17,147,-1,1.0
6,2636,16,probe-too-short,,,,
3,8530,18,probe-too-short,,,,
7,3104,18,probe-too-short,,,,
9,2220,40,retrieved,9.38.35,2220,0,1.0
6,2639,15,probe-too-short,,,,
12,1060,51,retrieved,12.30.18,1057,3,0.826
4,878,28,retrieved,4.25.18,878,0,0.84
1,485,33,retrieved,1.2.210,439,46,1.0
1,438,26,retrieved,1.2.163,392,46,0.87
1,1864,13,probe-too-short,,,,
1,6306,23,probe-too-short,,,,
1,7366,35,retrieved,1.200.1,7432,-66,0.875
7,8590,17,probe-too-short,,,,
12,11872,31,retrieved,12.320.21,11873,-1,1.0
6,5596,24,retrieved,6.119.30,5613,-17,0.762
2,1774,14,probe-too-short,,,,
9,1813,18,probe-too-short,,,,
13,1229,18,probe-too-short,,,,
7,5818,24,retrieved,7.140.2,5816,2,0.952
4,2216,19,probe-too-short,,,,
7,63,23,probe-too-short,,,,
4,533,14,probe-too-short,,,,
3,1338,41,retrieved,3.33.75,1338,0,1.0
1,7188,23,probe-too-short,,,,
3,15229,40,retrieved,3.253.22,15228,1,1.0
8,1068,25,retrieved,8.26.32,1105,-37,0.8
3,2451,20,probe-too-short,,,,
14,640,43,retrieved,14.21.13,640,0,1.0
12,4090,21,probe-too-short,,,,
3,2636,42,retrieved,3.67.3,2636,0,0.897
1,416,44,retrieved,1.2.141,370,46,1.0
3,1382,11,probe-too-short,,,,
14,1036,27,retrieved,14.37.14,1036,0,1.0
13,1557,41,retrieved,13.22.27,1557,0,1.0
1,6541,28,retrieved,1.171.26,6601,-60,1.0
1,5137,32,retrieved,1.131.4,5136,1,0.862
3,1809,77,not-retrieved,,,,0.5
13,4142,13,probe-too-short,,,,
13,3194,17,probe-too-short,,,,
12,9449,19,probe-too-short,,,,
7,2024,25,not-retrieved,,,,0.0
12,4827,18,probe-too-short,,,,
1,2211,87,retrieved,1.60.4,2180,31,0.925
5,3948,44,retrieved,5.116.11,3896,52,0.879
1,376,16,probe-too-short,,,,
1,8417,29,retrieved,1.232.14,8515,-98,1.0
1,3491,41,retrieved,1.84.26,3471,20,0.921
5,2700,42,retrieved,5.73.26,2700,0,1.0
1,12,11,probe-too-short,,,,
12,10641,30,retrieved,12.288.30,10476,165,0.962
12,2408,23,probe-too-short,,,,
12,4804,23,probe-too-short,,,,
7,7919,25,retrieved,7.175.30,7919,0,0.636
9,3045,16,probe-too-short,,,,
7,1634,16,probe-too-short,,,,
7,8104,18,probe-too-short,,,,
5,5734,20,probe-too-short,,,,
1,8041,18,probe-too-short,,,,
12,6121,23,probe-too-short,,,,
6,31,23,probe-too-short,,,,
12,3544,21,probe-too-short,,,,
2,988,37,retrieved,2.25.6,988,0,1.0
2,313,19,probe-too-short,,,,
13,338,82,retrieved,13.6.44,338,0,1.0
2,62,14,probe-too-short,,,,
1,5367,25,retrieved,1.135.21,5408,-41,1.0
12,10849,23,probe-too-short,,,,
3,13437,29,retrieved,3.200.88,13437,0,0.917
4,276,13,probe-too-short,,,,
2,2130,82,retrieved,2.64.10,2130,0,0.92
12,13221,16,probe-too-short,,,,
5,1887,46,retrieved,5.48.80,1887,0,1.0
5,2998,42,retrieved,5.84.6,2998,0,1.0
5,1677,31,not-retrieved,,,,0.0
1,2097,26,retrieved,1.55.1,2097,0,1.0
7,2294,24,retrieved,7.63.2,2292,2,0.857
2,29,19,probe-too-short,,,,
1,6056,21,probe-too-short,,,,
4,355,18,probe-too-short,,,,
1,6056,41,retrieved,1.155.15,6107,-51,1.0
1,2950,77,retrieved,1.72.15,2951,-1,1.0
14,2748,29,retrieved,14.90.59,2747,1,1.0
3,139,32,retrieved,3.3.9,139,0,0.893
3,15670,54,retrieved,3.269.4,15670,0,0.939
12,5844,39,retrieved,12.156.4,5780,64,1.0
12,12049,38,retrieved,12.321.6,12049,0,0.886
5,2704,27,retrieved,5.73.30,2704,0,0.833
5,2430,55,retrieved,5.63.2,2431,-1,1.0
1,537,22,probe-too-short,,,,
1,1890,28,retrieved,1.47.22,1890,0,0.96
5,2037,38,retrieved,5.51.19,2037,0,1.0
1,2556,13,probe-too-short,,,,
12,8589,40,retrieved,12.234.15,8471,118,0.946
14,1337,42,retrieved,14.48.3,1338,-1,1.0
14,2358,13,probe-too-short,,,,
12,4172,13,probe-too-short,,,,
1,539,37,retrieved,1.2.267,496,43,1.0
8,1236,25,retrieved,8.30.32,1269,-33,0.864
12,4989,21,probe-too-short,,,,
7,80,19,probe-too-short,,,,
2,2008,16,probe-too-short,,,,
13,359,12,probe-too-short,,,,
1,28,13,probe-too-short,,,,
3,8355,24,retrieved,3.89.2,8355,0,0.952
12,1390,37,not-retrieved,,,,0.529
13,598,48,retrieved,13.14.11,602,-4,1.0
13,1836,16,probe-too-short,,,,
1,4640,30,retrieved,1.120.1,4640,0,0.778
1,3755,15,probe-too-short,,,,
15,742,28,retrieved,15.28.2,742,0,1.0
1,141,18,probe-too-short,,,,
4,275,19,probe-too-short,,,,
3,14734,11,probe-too-short,,,,
3,15025,18,probe-too-short,,,,
12,5066,21,probe-too-short,,,,
1,7464,12,probe-too-short,,,,
13,29,29,retrieved,13.1.29,29,0,0.692
13,933,40,retrieved,13.14.340,931,2,1.0
13,2866,25,retrieved,13.54.40,2865,1,1.0
13,2887,18,probe-too-short,,,,
1,4113,56,retrieved,1.102.40,4117,-4,0.961
1,5359,36,retrieved,1.135.13,5400,-41,1.0
1,4993,31,retrieved,1.128.30,4993,0,0.964
1,377,42,retrieved,1.2.102,331,46,1.0
1,5326,22,probe-too-short,,,,
7,986,19,probe-too-short,,,,
13,4267,16,probe-too-short,,,,
3,7085,33,retrieved,3.84.7,7985,-900,0.889
4,2015,18,probe-too-short,,,,
7,1121,40,retrieved,7.25.58,1121,0,0.703
13,4524,17,probe-too-short,,,,
13,1586,38,retrieved,13.23.15,1586,0,1.0
12,12283,37,retrieved,12.326.23,12283,0,1.0
2,2196,27,retrieved,2.66.11,2195,1,1.0
1,4207,17,probe-too-short,,,,
14,269,20,probe-too-short,,,,
5,2460,37,retrieved,5.64.6,2460,0,1.0
3,11227,18,probe-too-short,,,,
5,7352,30,retrieved,5.186.25,7352,0,0.88
3,8648,51,retrieved,3.99.33,8649,-1,0.792
13,7130,11,probe-too-short,,,,
13,3112,19,probe-too-short,,,,
12,3758,19,probe-too-short,,,,
9,2882,18,probe-too-short,,,,
7,9408,29,retrieved,7.201.18,9411,-3,1.0
4,1067,29,retrieved,4.33.1,1067,0,1.0
3,2016,24,retrieved,3.52.4,2017,-1,0.81
7,5196,16,probe-too-short,,,,
6,3788,24,retrieved,6.85.38,3788,0,0.952
7,568,18,probe-too-short,,,,
2,1452,19,probe-too-short,,,,
1,638,19,probe-too-short,,,,
3,1733,14,probe-too-short,,,,
3,8514,21,probe-too-short,,,,
7,2920,23,probe-too-short,,,,
3,12098,28,retrieved,3.169.20,12132,-34,0.8
12,11883,22,probe-too-short,,,,
7,1586,26,not-retrieved,,,,0.0
18,122,19,probe-too-short,,,,
13,3490,17,probe-too-short,,,,
8,857,42,retrieved,8.21.37,897,-40,1.0
7,1944,19,probe-too-short,,,,
3,2025,36,retrieved,3.52.13,2026,-1,1.0
4,2003,85,retrieved,4.62.6,2002,1,0.986
9,1869,13,probe-too-short,,,,
3,12884,26,retrieved,3.188.79,12883,1,0.87
2,2685,17,probe-too-short,,,,
3,2957,13,probe-too-short,,,,
7,92,19,probe-too-short,,,,
6,2313,26,not-retrieved,,,,0.565
4,2155,18,probe-too-short,,,,
1,7007,12,probe-too-short,,,,
12,3652,37,retrieved,12.98.41,3652,0,1.0
5,5996,18,probe-too-short,,,,
12,365,23,probe-too-short,,,,
9,300,21,probe-too-short,,,,
3,15815,17,probe-too-short,,,,
12,4224,41,retrieved,12.114.15,4182,42,1.0
12,1637,37,retrieved,12.47.48,1635,2,0.941
3,16564,22,probe-too-short,,,,
3,1603,37,retrieved,3.39.53,1603,0,1.0
8,4944,14,probe-too-short,,,,
1,5977,19,probe-too-short,,,,
12,13280,19,probe-too-short,,,,
1,3275,19,probe-too-short,,,,
5,3887,32,retrieved,5.113.15,3836,51,1.0
3,8309,13,probe-too-short,,,,
3,2552,21,probe-too-short,,,,
13,829,39,retrieved,13.14.237,828,1,0.886
4,1364,11,probe-too-short,,,,
10,377,14,probe-too-short,,,,
5,1196,27,retrieved,5.35.15,1196,0,0.667
5,2516,37,retrieved,5.67.4,2482,34,0.882
3,8308,12,probe-too-short,,,,
13,3264,19,probe-too-short,,,,
13,3264,24,retrieved,13.64.13,3264,0,1.0
4,1383,83,retrieved,4.44.16,1382,1,1.0
7,5375,27,retrieved,7.131.21,5375,0,1.0
4,1704,37,not-retrieved,,,,0.471
1,712,52,retrieved,1.3.48,713,-1,0.776
3,13459,28,retrieved,3.200.109,13458,1,0.88
6,2635,17,probe-too-short,,,,
1,2476,31,retrieved,1.64.22,2455,21,1.0
6,101,15,probe-too-short,,,,
12,12404,78,retrieved,12.328.40,12404,0,0.947
3,2371,49,retrieved,3.63.10,2371,0,0.87
4,1454,13,probe-too-short,,,,
3,12066,33,retrieved,3.168.74,12100,-34,1.0
1,4993,15,probe-too-short,,,,
3,16465,28,retrieved,3.289.1,16463,2,0.96
5,7125,15,probe-too-short,,,,
3,10082,26,retrieved,3.113.13,10127,-45,1.0
2,568,17,probe-too-short,,,,
15,984,20,probe-too-short,,,,
7,76,22,probe-too-short,,,,
7,80,19,probe-too-short,,,,
7,3447,14,probe-too-short,,,,
13,899,14,probe-too-short,,,,
4,1545,66,retrieved,4.49.16,1546,-1,0.721
7,74,20,probe-too-short,,,,
4,1613,18,probe-too-short,,,,
12,7878,80,retrieved,12.217.36,7770,108,0.97
13,2477,43,retrieved,13.45.17,2477,0,1.0
4,982,21,probe-too-short,,,,
9,3029,23,probe-too-short,,,,
3,12318,20,probe-too-short,,,,
5,4116,29,retrieved,5.123.19,4060,56,1.0
4,171,41,retrieved,4.5.30,171,0,1.0
13,4785,39,retrieved,13.100.14,4785,0,1.0
10,756,32,retrieved,10.16.34,756,0,1.0
11,711,34,retrieved,11.25.6,711,0,0.871
1,5437,17,probe-too-short,,,,
1,7979,42,retrieved,1.221.17,8060,-81,1.0
7,8776,62,retrieved,7.191.22,8776,0,1.0
5,5437,46,retrieved,5.160.31,5355,82,0.829
13,1651,37,retrieved,13.23.79,1650,1,1.0
13,1176,39,not-retrieved,,,,0.0
4,131,41,retrieved,4.4.49,131,0,0.974
7,3407,42,retrieved,7.93.70,3407,0,1.0
4,71,49,retrieved,4.3.12,71,0,0.826
5,1902,13,probe-too-short,,,,
7,994,12,probe-too-short,,,,
10,38,12,probe-too-short,,,,
1,5568,23,probe-too-short,,,,
1,7307,51,retrieved,1.197.32,7373,-66,0.87
8,4586,27,retrieved,8.89.63,4586,0,0.833
1,5711,21,probe-too-short,,,,
3,11334,46,retrieved,3.151.17,11377,-43,0.806
5,499,40,not-retrieved,,,,0.0
7,2136,40,retrieved,7.55.3,2136,0,0.892
1,260,37,retrieved,1.1.267,221,39,0.882
12,3000,41,retrieved,12.80.18,3000,0,0.895
7,130,43,retrieved,7.4.16,130,0,0.9
9,1946,15,probe-too-short,,,,
8,4684,25,not-retrieved,,,,0.0
4,355,18,probe-too-short,,,,
2,197,18,probe-too-short,,,,
7,203,29,retrieved,7.7.36,204,-1,0.846
1,2786,36,retrieved,1.67.152,2788,-2,1.0
7,199,13,probe-too-short,,,,
1,5401,26,retrieved,1.136.23,5442,-41,1.0
13,268,41,retrieved,13.5.6,268,0,0.842
2,1205,19,probe-too-short,,,,
13,524,27,retrieved,13.11.18,524,0,0.833
12,9763,82,retrieved,12.271.9,9613,150,1.0
5,2730,29,not-retrieved,,,,0.577
1,5782,19,probe-too-short,,,,
7,1217,21,probe-too-short,,,,
2,1012,67,retrieved,2.27.3,1012,0,0.942
4,311,56,retrieved,4.11.14,311,0,0.882
13,6604,24,retrieved,13.143.40,6603,1,0.857
14,2304,23,probe-too-short,,,,
3,17344,21,probe-too-short,,,,
14,2341,21,probe-too-short,,,,
5,4040,36,retrieved,5.120.15,3988,52,0.906
5,7478,35,retrieved,5.191.22,7478,0,1.0
2,638,17,probe-too-short,,,,
3,49,8,probe-too-short,,,,
1,4347,32,retrieved,1.109.11,4347,0,0.931
14,317,39,retrieved,14.12.4,318,-1,1.0
13,1499,16,probe-too-short,,,,
13,1516,41,retrieved,13.21.5,1516,0,1.0
3,10571,43,retrieved,3.131.11,10627,-56,0.871
3,13587,49,retrieved,3.204.6,13587,0,0.86
1,5693,43,retrieved,1.142.22,5742,-49,1.0
12,3731,43,retrieved,12.100.49,3730,1,1.0
3,8743,48,not-retrieved,,,,0.568
2,1648,41,retrieved,2.46.20,1650,-2,0.895
4,440,19,probe-too-short,,,,
2,153,79,retrieved,2.5.19,153,0,1.0
7,7761,50,retrieved,7.172.27,7770,-9,0.761
13,6724,36,retrieved,13.145.42,6724,0,1.0
3,10572,40,retrieved,3.131.12,10628,-56,1.0
12,3250,22,probe-too-short,,,,
4,1670,27,retrieved,4.54.11,1670,0,1.0
12,4052,26,retrieved,12.109.30,4052,0,0.818
3,548,19,probe-too-short,,,,
5,1706,27,retrieved,5.44.23,1706,0,0.792
1,7179,29,retrieved,1.193.6,7247,-68,1.0
13,1645,21,probe-too-short,,,,
8,2030,12,probe-too-short,,,,
5,1412,41,retrieved,5.38.15,1413,-1,1.0
7,2725,21,probe-too-short,,,,
7,1134,26,not-retrieved,,,,0.0
3,13149,15,probe-too-short,,,,
12,7974,56,retrieved,12.219.44,7865,109,0.943
5,386,26,not-retrieved,,,,0.0
13,3133,40,retrieved,13.62.31,3133,0,0.8
13,7394,29,retrieved,13.158.41,7394,0,0.846
5,5973,27,retrieved,5.174.8,5973,0,1.0
1,5636,38,retrieved,1.141.2,5684,-48,0.971
2,2506,28,not-retrieved,,,,0.0
12,9667,21,probe-too-short,,,,
3,14799,39,retrieved,3.238.4,14799,0,1.0
1,4774,41,retrieved,1.123.17,4773,1,1.0
3,1363,13,probe-too-short,,,,
4,69,31,retrieved,4.3.10,69,0,1.0
3,16812,20,probe-too-short,,,,
1,5811,36,retrieved,1.147.14,5861,-50,0.909
4,1085,30,retrieved,4.33.19,1085,0,1.0
14,1361,69,retrieved,14.49.13,1360,1,1.0
1,5053,15,probe-too-short,,,,
2,162,20,probe-too-short,,,,
14,1015,20,probe-too-short,,,,
1,2498,53,retrieved,1.64.44,2477,21,0.851
1,1427,40,retrieved,1.30.44,1427,0,1.0
1,3521,21,probe-too-short,,,,
2,1819,27,retrieved,2.50.35,1819,0,0.875
1,594,11,probe-too-short,,,,
13,5747,39,retrieved,13.117.25,5747,0,1.0
12,1629,29,retrieved,12.47.41,1628,1,0.87
8,3591,19,probe-too-short,,,,
3,10666,26,retrieved,3.134.16,10719,-53,1.0
14,1177,24,retrieved,14.43.8,1177,0,0.9
12,2325,16,probe-too-short,,,,
3,6083,16,probe-too-short,,,,
13,1361,26,not-retrieved,,,,0.0
3,14619,10,probe-too-short,,,,
13,4296,19,probe-too-short,,,,
13,1905,14,probe-too-short,,,,
12,9054,16,probe-too-short,,,,
12,8751,28,not-retrieved,,,,0.36
6,86,34,retrieved,6.3.18,86,0,1.0
6,803,23,probe-too-short,,,,
13,7655,21,probe-too-short,,,,
15,940,49,retrieved,15.35.2,940,0,1.0
3,2722,15,probe-too-short,,,,
3,2737,12,probe-too-short,,,,
3,2919,21,probe-too-short,,,,
4,28,30,retrieved,4.2.1,28,0,1.0
3,15640,20,probe-too-short,,,,
1,176,15,probe-too-short,,,,
4,1198,19,probe-too-short,,,,
12,7228,19,probe-too-short,,,,
3,2990,25,retrieved,3.76.35,2990,0,0.955
15,281,19,probe-too-short,,,,
2,2262,16,probe-too-short,,,,
6,5828,21,probe-too-short,,,,
3,1337,19,probe-too-short,,,,
13,7473,11,probe-too-short,,,,
1,3260,24,retrieved,1.77.5,3239,21,1.0
12,4076,20,probe-too-short,,,,
13,5163,32,retrieved,13.106.32,5163,0,1.0
5,1370,14,probe-too-short,,,,
1,2841,45,retrieved,1.69.28,2841,0,1.0
3,409,17,probe-too-short,,,,
1,5951,28,retrieved,1.152.26,6001,-50,1.0
11,615,52,retrieved,11.21.13,615,0,0.913
3,422,41,retrieved,3.11.37,422,0,1.0
3,13288,29,retrieved,3.197.16,13288,0,1.0
9,908,21,probe-too-short,,,,
3,13663,44,retrieved,3.206.12,13663,0,1.0
1,7714,25,not-retrieved,,,,0.0
13,5871,22,probe-too-short,,,,
4,32,21,probe-too-short,,,,
1,953,41,retrieved,1.8.16,953,0,1.0
13,7475,45,retrieved,13.160.18,7475,0,0.905
3,14656,38,retrieved,3.233.8,14656,0,1.0
13,1479,20,probe-too-short,,,,
1,3587,30,retrieved,1.89.11,3587,0,1.0
4,466,26,not-retrieved,,,,0.0
13,311,22,probe-too-short,,,,
