siglum	count	ctx1	ctx2	ctx3
ĀśvaŚS.	669	ĀśvaŚS. I. i. 3. 25;	ĀśvaŚS. II. iv. 9. 6;	ĀśvaŚS. I. i. 5. 9; also in greeting
PrakriKau.	667	KośaKaTa. 2. 3018; PrakriKau. i. 308. 1; as SiddhāKau. 108. A. 2	(pity ?) MugdhaBo. 2. 19 (5. 21); PrakriKau. i. 79. 2; an analysis	. 14; Kātan. iv. 3. 11; KāśiVṛ. iii. 2. 9; PrakriKau.
Mānaso.	660	Mānaso. ii. 3. 170;	Mānaso. ii. 2. 117;	Mānaso. iii. 1. 885;
HariVaṃ.	651	MahāBhā. i. 59. 15; HariVaṃ.	HariVaṃ. 9. 7; (i. e.	HariVaṃ. 2. 45;
SaduktiKa.	647	PrasaRā. 7. 81; SaduktiKa. 10. 9;	SaduktiKa. 14. 1; StavMā. 284. 23;	KāvyaPra. 734. 5 = SaduktiKa. 54. 30; AlaṅkāSa. 89. 10;
Loc.	646	Loc.	Loc. 15. 18 ( 1. 4);	Loc. 67. 7 ( 2. 3);
Upask.	644	PañcDa. 6. 166; Upask. 326. 11 ( vii. 2. 9); 332. 2 (	Saṃ.(Ā.) 75. 16; Upask. 333. 6 ( vii. 2. 10)	Upask. 332. 2 ( vii. 2. 10)
RāghPāṇ.	641	; read in for Śleṣa RāghPāṇ.	TriṣaŚaPuC. iii. i. 402; RāghPāṇ.(Ka.)	RāghPāṇ.(Ka.) 4. 26; 12. 39; PṛthvīVi. 2. 1; KāvyKaVṛ. 4.
MediK.	640	(comm. ); as MediK. 1932;	TrikāŚe. i. 1. 29; ŚabdaBhePra.(Pu.) 1. 9; MediK. 193. 2; NānārthāSaṃ.	ViśvaPra. 152. 43; MediK. 157. 5; ŚabdaRaSaK. 295. 10;
SetuBa.	639	SetuBa. 76. 24;	SetuBa. 207. 2; BālamBha. ii. 142. 11	SetuBa. 205. 12; VedāntPāSau. 235. 13
ŚaṅkaDigVi.	633	ŚaṅkaDigVi.(Mā.) 11. 62;	ŚaṅkaDigVi.(Mā.) 1. 51;	ŚaṅkaDigVi.(Mā.) 8. 85; TattvPrakā. 118A. 3 (
KhaṇḍanKhā.	632	KhaṇḍanKhā. 56. 11;	KhaṇḍanKhā. 463. 20.	KhaṇḍanKhā. 524. 5; 517. 12; 487. 20;
AitBr.	631	and ə before y; usually called , AitBr. 25. 7 (668); AitĀ. ii. 3. 6;	of compounds are AitBr. 32. 5 (wrong reading?),	shoulder of an animal AitBr. 6. 6 (165);
TarkSaṃ.	627	9. 12; TarkSaṃ.(Ā.) 75. 9;	TarkSaṃ.(Ā.) 71. 1.	TarkSaṃ.(Ā.) 24. 19;
AnekāSaṃ.	626	are others, such as (AnekāTi. 3. 169), (AnekāSaṃ. 2. 304),	AnekāSaṃ. 2. 530; 2. 542; AbhidhāCi. 95; 99; Liṅgānu.(	viii) AnekāSaṃ. 1. 9. ix) NānārthaSaṃ. 83. 56.
VedāntKau.	624	VedāntKau. 21. 24 ( i. 1. 4);	VedāntKau. 25. 21 ( i. 1. 7);	VedāntKau. 236. 4 ( ii. 3. 42);
JayāS.	618	JayāS. 23. 2.	JayāS. 16. 297; {@B@} square-root of the	JayāS. 15. 97; {@5@} the root of the wing of a
RaghuVa.	616	HariVaṃ. 43. 69; RaghuVa. 8. 16;	RaghuVa. 6. 75; PadyaVe. 109; JānaHa.	YogVā. iv. 56. 18; RaghuVa. 15. 10;
VivaPraSaṃ.	609	VivaPraSaṃ. 312. 5;	159. 3; 166. 7; VivaPraSaṃ. 161. 14; 162. 13;	VivaPraSaṃ. 28. 14;
BṛSaṃ.	596	BṛSaṃ. 102. 2; {@2@} the three	BṛSaṃ. 51. 14; PadmP.(Ra.) 14. 363;	BṛSaṃ. 17. 3 (comm.
NalaCam.	586	NalaCam. 2. 18 (comm.	NalaCam. 3. 21 (29);	NalaCam. 3. 3 (3)
NyāyKu.	586	NyāyKu. 10. 22;	NyāyRa. 888. 19 ( 23. 151); NyāyKu.	NyāyKu. 20. 12;
ChāndoUBh.	583	ChāndoUBh. 363. 8 ( vi. 5. 1);	ChāndoUBh. 103. 6 ( ii. 10. 5);	ChāndoUBh.(Śaṅ.) 125. 18 ( ii. 23. 1); KāṭhUBh.(Śaṅ.) 106. 1
AṣṭāHṛ.	582	AṣṭāHṛ. i. 11. 34;	NāraS. xxix. 0. 157; AṣṭāHṛ.	AṣṭāHṛ. i. 14. 26; {@Fvi@} a formula to determine th
SūktiRa.	579	ManuSm. 9. 47; SmṛtiCan. i. 218. 4; SūktiRa. 163. 88;	SūktiRa. 39. 18;	SūktiRa.
VI.	579	helper TaiS. VI. iv. 8. 2;	TaiS. VI. iv. 8. 3; TaiBr. III. vii. 9. 1;	TaiS. VI. iv. 4. 4;
SiddhaHe.	577	SiddhaHe. i. 1. 9 (comm.	SiddhaHe. iii. 1. 54;	SiddhaHe. iv. 1. 2;
ŚabdaRaSaK.	577	(ŚabdaRaSaK. 182. 6), (Vaija. 235. 62), (Vaija. 247.	ViśvaPra. 152. 43; MediK. 157. 5; ŚabdaRaSaK. 295. 10;	Ma. 355; ŚabdaRaSaK. 325. 1; ŚabdaRa.(Bā.) 3833, 3976, 4015, 4061
AdhyāRā.	576	AdhyāRā. i. 2. 30;	RāmC. 32. 4; AdhyāRā.	AdhyāRā. vi. 6. 7;
PariPar.	570	PariPar. 6. 68; PāṇḍaC. 6. 973;	PariPar. 2. 135.	PariPar. 4. 43; EI. viii. 213. 45;
KāśyaS.	566	2. 104; BhāvPra.(Bhā.) vi. 4. 31; vi. 7. 33; KāśyaS.	KāśyaS. 75A. 12; AṣṭāSaṃ.	92. 11 (4. 7); KāśyaS.
YuktiSneha.	564	YuktiSneha. 152. 12 ( i. 1. 7);	52. 18; 53. 21; YuktiSneha. 26. 12 ( i. 1. 2); 152. 11 ( i. 1. 7); 158	( 7. 266); YuktiSneha.
KapiKaS.	564	¦ (aṃhāri) the enemy of sin KapiKaS.	KapiKaS. 40. 2. =	KāṭhS. 24. 9 = KapiKaS. 38. 2.
YātrāPra.	558	VaiP. i. 1. 22; YātrāPra. 3. 218. {@5A@} a Vedic	YātrāPra. 6. 160; {@Av@} element, factor,	Pra. 1. 13; YātrāPra. 2. 93;
ViśvaLoK.	558	Pra. 12. 123; AnekāSaṃ. 3. 3; Vaija. 250. 1; ViśvaLoK. 9. 43;	4. 42; ViśvaLoK. 9. 43; AnekāSaṃ. 3. 3; DharK. 126; ŚabdaRaSa	AnekāSaṃ. 3. 3; AnekāK. 51; ViśvaLoK. 9. 43; DharK. 126; NānārthaMa.
KāmSū.	558	KāmSū. 140. 13 (2. 6); 100. 7 (2. 2);	KāmSū. 5. 4 (279. 19);	) KāmSū. 6. 1 (309. 22) (comm. )
SamarāSū.	557	20. 21; SamarāSū. ii. 107. 5;	SamarāSū.	SamarāSū. ii. 84. 15 (57); SamarāSū.
MW.	557	( ) and ( ) . MW. gives	MW. ?]	¦ (a-kupya) [? PW., pw., and MW. ( ) Alt. Gr. II.
TaiĀ.	556	TaiĀ. i. 13. 3 (110. 1);	ṚV. viii. 96. 15; GopBr. ii. 6. 16; TaiĀ. i. 6. 3;	TaiĀ. i. 9. 2;
SiddhāTaVi.	556	SiddhāTaVi. 110. 24; 111. 10; {@5Di@} used as	SiddhāTaVi.	SiddhāTaVi. App. 48. 7.
NyāyKuA.	554	NyāyKuA. i. 163. 10;	NyāyKuA. i. 52. 2; NyāySu.(Ja.) 324B. 4 ( ii. 2. 1);	NyāyMañ. ii. 73. 30; NyāyKa. 150. 24; NyāyKuA. ii. 96. 8;
KalyāKā.	550	KalyāKā. 20. 59;	SuśruS. ii. 1. 82; RugVi. 22. 64; KalyāKā. 8. 17;	disease) KalyāKā. 18. 10.
BṛKathāŚloSaṃ.	546	1. 20; BṛKathāŚloSaṃ. 22. 72;	BṛKathāŚloSaṃ. 15. 124;	311. 7; BṛKathāŚloSaṃ. 27. 27; VyaktiVi. 70. 11; ŚrīKaC. 11. 57;
Rāgh.	546	Rāgh. 1. 51.	EI. ii. 177. 19; Rāgh. 14. 57;	Rāgh. 10. 24.
ViśvaPra.	545	NānārthRaMā. 25; 26; 52; 53; EkāNā.(vi.) 5; ViśvaPra. 185. 2;	ViśvaPra. 152. 43; MediK. 157. 5; ŚabdaRaSaK. 295. 10;	) AmaK. 210; Vaija. 214. 6; 18. 15; ViśvaPra. 112. 26; 168. 12;
AhirbuS.	543	ing to a part only AhirbuS. 11. 57;	AhirbuS. 51. 21; IṣtaSi 8. 1; EI. xi. 332. 66;	AhirbuS. 30. 14; {@B@} a partial aspect, one
NyāyRaMā.	543	xi. 1. 2); NyāyRa. 872. 10; 922. 8; 922. 12 NyāyRaMā. 158. 1;	NyāyRaMā. 157. 21.	NyāyRaMā. 166. 9; Tārki-
BrahmVaiP.	543	and BrahmVaiP. ii.	BrahmVaiP. iii. 11. 25; iii. 2. 18;	BrahmVaiP. iv. 23. 71; iv. 35. 30;
Sāy.	542	part, share, portion, bit, piece (Sāy.	ṚV. i. 112. 1 (Sāy.	(Du.) for Aśvinau; ṚV. x. 106. 9 (Sāy.
KātyŚS.	542	KātyŚS. ii. 6. 8 (comm.	sacrificial altar KātyŚS. ii. 2. 19.	ŚatBr. III. viii. 4. 6; KātyŚS. vii. 2. 25.
Gr.	541	ṃh-) I. A. [ DhātūPā. 1. 666; SaraKaṇṭhā (Gr.)	); SaraKaṇṭhā(Gr.) i. 1. 104; Siddha	¦ (a-kathā) {@1@} (Gr.) not mentioned, not defined as or in-
LakṣmīT.	539	LakṣmīT. 4. 35;	LakṣmīT. 5. 49;	LakṣmīT. 20. 28; {@B@} (Metrics) a part of a verse,
ParaNā.	533	DharK. 2858; ParaNā. 7; Tantrābhi. i. 1. 1; Tantrābhi. ii. 5. 11;	ParaNā. 17; Tantrābhi. iii. 23. 9; EkāNā.	AbhidhāCi. 99; NānārthaMa. 665; ParaNā. 2597; MediK. 176. 2; AnekāTi.
SamarāSaṃ.	530	TripuḌi. 4. 2 (7); SamarāSaṃ.	SamarāSaṃ. 7. 250;	not to be divulged SamarāSaṃ.
SarvaDaSaṃ.	529	SaṃkhyaPraSū. 1. 105; SarvaDaSaṃ.	inactive SarvaDaSaṃ. 15. 229; {@B@} the nature or	SarvaDaSaṃ. 16. 439;
SyādvāMañ.	524	SyādvāMañ. 24. 18.	SyādvāMañ. 28. 98; {@B@} partial per-	SyādvāMañ. 12 (38);
SubhāRaK.	521	SubhāRaK. 6. 22;	9. 27; SubhāRaK. 9. 24; Vāgbhaṭā.	SubhāRaK. 23. 45; YuktiKa 98. 7;
PañcBr.	520	ŚiśuVa. 2. 52; to infinitives PañcBr. xvi. 15. 9;	PañcBr. x. 4. 4; ChāndoU. iv. 10. 3; not generally	PañcBr. xxi. 1. 2; (with )
LalitāSaBh.	518	LalitāSaBh. 125. 17 ( 167); this gave rise to the idea	( 22); YogSā. 21. 15; LalitāSaBh. 5. 26 (6);	446. 20 ( vi. 1. 1); 447. 33 ( vi. 1. 1); LalitāSaBh.
RāmāMañ.	518	43. 11; RāmāMañ. 268. 11; Vikra-	2. 79; VarāP. 11. 55; RāmāMañ. 235. 26;	RāmāMañ. 461. 18; BṛKathāMañ.
KūrmaP.	512	KūrmaP. i. 172. 12;	KūrmaP. 231. 10 (1. 21); NīlaP. 222;	KūrmaP. 671. 15 (2. 31);
BhāṭṭCin.	512	NirṇaSi. 280. 8; BhāṭṭCin. ii. 83. 5 ( ii. 1. 4);	BhāṭṭCin. i. 61. 19 ( i. 1. 4); BālamBha. ii. 148. 9	BhāṭṭCin. 89. 7 ( i. 1. 4);
Kirātā.	505	Kirātā. 4. 38; Kirātā. 6. 19; Śiśu-	Kirātā. 4. 38; Kirātā. 6. 19; Śiśu-	māṇḍP. i. 29. 78; Kirātā. 12. 33;
BṛKathāMañ.	504	RāmāMañ. 461. 18; BṛKathāMañ.	xiii. 33; BṛKathāMañ. v. 1. 194;	17. 73; BṛKathāMañ. ix. 1. 319; DarpDa. 3. 88; DaśāvaC. 8. 76; S
ŚākaṭāVyā.	502	ŚākaṭāVyā. ii. 1. 25 (comm.	ŚākaṭāVyā. iii. 2. 15;	iv. 3. 105; CāndraVyā. v. i. 106; v. 1. 133; ŚākaṭāVyā. i. 1. 75; iv.
VaiyāBhū.	502	VaiyāBhū. 148. 1;	VaiyāBhū. 145. 16; 132. 7; La-	359. 16 ( ii. 1. 1); cf. VaiyāBhū. 151. 3 ( 30)
SaṃgīRa.	496	(comm. ) SaṃgīRa. iv.	EI. viii. 105. 21; SaṃgīRa. i. 177. 1 (7. 22);	SaṃgīRa. i. 181. 7 (7. 34);
AnuVyā.	495	AnuVyā. 37A. 2 ( 2. 3); (i. e.	AnuVyā. 26A. 11 ( 2. 2);	AnuVyā. 26B. 2 ( 2. 2)
VāmaP.	493	VāmaP. 29. 19;	VāmaP. 5. 31; {@Div@} the period between the	245. 28 = VāmaP. 29. 26.
KauṣīBr.	490	KauṣīBr. 13. 4; JaimiBr.	KauṣīBr. 26. 4;	verse (= ṚV. i. 120. 1-9) KauṣīBr.
PratyabhiVi.	486	PratyabhiVi. i. 42. 1 ( i. 1. 1)	(i. e. ) PratyabhiVi. ii.	iii. 2. 8 (PratyabhiVi.
NayaVi.	484	TattvSaṃ. 1815; NayaVi. 190. 5 (	NayaVi. 191. 3 ( i. 1. 5)	NayaVi. 19. 7 ( i. 1. 1); 20. 9 ( i. 1. 1);
GoviBh.	483	GoviBh. 163. 15 ( ii. 3. 41);	GoviBh. 166. 7 ( ii. 3. 43)	i. 3. 7); GoviBh. 164. 12 ( ii. 3. 41); KālīViT. 28. 21.
VarāP.	483	VāmaP. 15. 47; VarāP. 125. 43; PadmP. iv. 13. 26; BhaviP. III. iv.	2. 79; VarāP. 11. 55; RāmāMañ. 235. 26;	luminous VarāP. 125. 43.
NyāySiA.	481	NyāySiA. 220. 1;	NyāySiA. 190. 18;	NyāySiA. 200. 1;
NīlaVi.	481	87. 34; 96. 3; NīlaVi. 63. 14;	PraboSu. 245; NīlaVi. 35. 3 (2); {@8@} suddenly	Subhāṣi. 2503; NīlaVi.
Pañcā.	480	athāMañ. xvi. 1. 542; KathāSaSāg. x. 7. 149; Pañcā. 239. 24;	bravery Pañcā. 4. 28.	derer PañcT. 2. 77 (251. 1) = Pañcā. 165. 7.
Bhā.	479	(Bhā.) i. 1. 63; VīraBhā. 7. 64;	Bhā. i. 2. 76; i. 61. 99; i. 109. 3; HariVaṃ.	Bhā. iii. 3. 24; (listed among the 12
KāvyPra.	478	KāvyPra. 296. 3; BrahmSūBh.(Rā.) 50. 16 ( i.	Ś. 2; VakroJī. 163. 11; SaraKaṇṭhā. 133. 21; KāvyPra. 457. 5;	SūryŚ. 6 = KāvyPra. 418. 4 = PrabaCi. 45. n. 1.
Nir.	475	Nir. 2. 13 (50. 20);	and Nir. 2. 5; from Uṇā.	(Nir. 6. 22); {@1E@} any exudation or juice (not
SaṃkṣeŚā.	475	16. 75; SaṃkṣeŚā. 3. 10;	SaṃkṣeŚā. 1. 207 (comm.	( i. 1. 4); 26. 10 ( i. 1. 4); SaṃkṣeŚā. 1. 450
VarāṅgaC.	467	VarāṅgaC. 9. 34;	VarāṅgaC. 4. 79.	VarāṅgaC. 5. 88;
NavaSāC.	459	v(1). 2. 21; NavaSāC. 9. 58;	NavaSāC. 18. 56;	ii. 5. 37; NavaSāC. 10. 58;
TantrRā.	456	TantrRā.	TantrRā. 31. 23.	TantrRā. 31. 22.
TattvVai.	453	TattvVai. 37. 17 ( 1. 32);	inactive, indolent TattvVai. 16. 17 ( 1. 10);	perform (a religious duty) TattvVai. 35. 23 ( 1. 30);
VasiS.	453	VasiS. 28. 12; {@Dii@} degree (of a circle), 1/30 p	VasiS. 32. 81; {@C@} a	VasiS. 32. 21.
NyāyVārPari.	451	NyāyVārPari. 175. 7;	NyāyVārPari. 556. 4.	NyāyVārPari. 524. 1.
ŚāṅkhāŚS.	448	ĀpaŚS. x. 9. 8; xi. 21. 3; xxiv. 12. 7; ŚāṅkhāŚS. i. 6. 3;	JaimiBr. 3. 71; ŚatBr. I. v. 1. 22 = ŚāṅkhāŚS. i. 6. 4;	) cited in GopBr. ii. 6. 15; ŚāṅkhāŚS. xvi.
MalliC.	447	MalliC. 8. 281;	PariPar. 2. 459; 3. 144; 6. 36; MalliC.	MalliC. 6. 27.
MugdhaBo.	445	GaṇPā. 254. 126; MugdhaBo. 2. 19 (5. 21); in the sense of no exam-	(pity ?) MugdhaBo. 2. 19 (5. 21); PrakriKau. i. 79. 2; an analy	MugdhaBo. 1. 17 (3. 11);
SarvaDaKau.	443	SarvaDaKau. 99. 27; SarvaDa-	SarvaDaKau. 99. 25; TantrRaha.	SarvaDaKau. 40. 3;
CāndraVyā.	442	Vṛ); P. v. 1. 56; CāndraVyā. iv. 1. 66;	JaineVyā. iv. 1. 17; CāndraVyā. iv. 2. 74;	¦ (aṃsa-lá) [P. v. 2. 98; CāndraVyā. iv. 2. 101; KāśiVṛ.
VidhiRa.	439	VidhiRa. 11 (82. 20); SiddhāTa. 22. 19;	VidhiRa. 1 (4. 17);	VidhiRa. 13 (90. 8);
ŚukraNī.	438	39. 6; ŚukraNī. 1. 65;	ŚukraNī. 4 (4). 4.	ŚukraNī. iv. 4. 49.
CāndraVṛ.	435	s other than the physical act of lifting, , CāndraVṛ.	CāndraVṛ. iv. 2. 49.	CāndraVṛ. iv. 2. 101;
BṛParāSm.	434	125; RāmC. 4. 66; 14. 61; Kapphiṇā. 11. 11; BṛParāSm. 2. 79;	i. 128. 21 ( 1. 185); BṛParāSm. 6. 335.	BṛParāSm. 5. 145;
Tantrākhyā.	433	Tantrākhyā. 30. 19; BṛNāraP. 11. 41;	heart Tantrākhyā. 128. 6 = PañcT. 4. 17	Tantrākhyā. 78. 6;
Śaṅ.	432	SanatSu. 3. 20 (Śaṅ. ); BhāgP. iii. 25. 37;	(Śaṅ.) 297. 17 ( 10. 41); Kāvyālaṅ.	(Śaṅ.) 568. 2 ( iii. 2. 5);
SiddhYo.	430	SiddhYo. 22. 114.	SiddhYo. 10. 13.	SiddhYo. 10. 16.
MahāvīC.	429	MahāvīC. 2. 26;	MahāvīC. 4. 56; UttaRāC. 6. 42; 3. 43	MahāvīC. 1. 60.
Hitopa.	429	NītīSā. 1. 10; Hitopa. 3. 2; SūktiRa.	CampaŚreKa. 19; Hitopa.	Hitopa. 1. 80; {@7@} without intention, spontaneousl
VyaktiVi.	427	VyaktiVi. 35. 11; NyāyPari. 278. 9;	311. 7; BṛKathāŚloSaṃ. 27. 27; VyaktiVi. 70. 11; ŚrīKaC. 11. 57;	VyaktiVi. 34. 6; SaduktiKa. 13. 17; SāhiDa. 444. 6; Al
MīmāSū.	421	case of the Aṃśu libation MīmāSū. x. 6. 38; {@3@}	with in the MīmāSū. ii. 3. 20	rformance of a specific religious activity MīmāSū.
VII.	420	TaiS. VII. i. 6. 2;	MānŚS. VII. i. 1. 21; KāśiVṛ. P. vi. 4. 100;	vii. 12. 21; TaiS. VII. v. 22;
PariVṛ.	419	PariVṛ.(Sī.) 154. 6.	PariVṛ.(Sī.) 43. 8 ( i. 4. 21); Prakri-	PariVṛ.(Sī.) 25. 5; Prasā. i. 884. 22; {@C@}. not having
SūktiMu.	417	Ka. 127. 24 = SūktiMu. 37. 5 = ŚārṅgaPa. 3388 = Subhāṣi. 1057; AmaŚ	SūktiMu. 88. 18; ŚārṅgaPa. 3957; Subhāṣi. 2052.	SūktiMu. 53. 29; ŚāriṅgaPa. 3325;
LāṭyāŚS.	417	LāṭyāŚS.	LāṭyāŚS. x. 7. 14;	LāṭyāŚS. vii. 11. 18 (comm.
SāṃkhyaPraBh.	416	SāṃkhyaPraBh. 133. 24 ( 5. 73);	SāṃkhyaPraBh. 47. 23 ( 1. 96);	SāṃkhyaPraBh. 52. 1 ( 1. 106)
BṛKathāK.	416	VāyuP. ii. 26. 165; BṛKathāK. 134. 2; AgniP. 272. 29; BṛNāraP. 8. 137;	BṛKathāK. 134. 41.	BṛKathāK. 134. 2;
GopBr.	415	7. 26; GopBr. ii. 2. 12;	ṚV. viii. 96. 15; GopBr. ii. 6. 16; TaiĀ. i. 6. 3;	) cited in GopBr. ii. 6. 15; ŚāṅkhāŚS. xvi.
TantrRa.	414	TantrRa. 286. 3.	( i. 1. 5); TantrRa. 139. 17 ( iv. 2. 17); P.	ii. 3. 24); TantrRa. 196. 1 ( iv. 3. 37);
AbhidhāRaMā.	414	48. 10; (He.) 136. 13 and Kośas: AmaK. 1230; AbhidhāRaMā.	AbhidhāRaMā. 2. 111; AbhidhāCin. 1264;	RāghPāṇ.(Dha.) 6. 3; AbhidhāRaMā. 2. 226;
ParamāKā.	414	YātrāPra. 1. 5; VīraMi(Bhakti). 60. 6; ParamāKā. 47. 69; LalitāstaRa. 53;	ParamāKā. 18. 128;	ParamāKā. 39. 40.
ŚatTrayī.	406	ŚatTrayī. 2. 304; {@B@} to treat as a numerator of	ŚatTrayī. 687.	PañcT. 1. 118 (120. 10); ŚatTrayī. 734; {@C@} harsh, hard, terrible
DaṇḍaVi.	406	DaṇḍaVi. 254. 6.	3. 221) DaṇḍaVi. 302. 11; 313. 18;	DaṇḍaVi. 48. 10.
Saṃ.	404	Saṃ. 338. 10; AdvaiSi. 846. 11; MīmāKau. ii. 47	Saṃ. 3. 56.	Saṃ. 48; HammīMaKā. 7. 1;
ŚilpaRa.	404	TantrSa. 2. 137 = ŚilpaRa. ii. 27. 64.	ŚilpaRa. i. 17. 34; i. 37. 102.	ŚilpaRa. ii. 5. 92;
BrahmSi.	403	BrahmSi. 66. 22; IṣṭaSi.	BrahmSi. 43. 18; TantrVā.	BrahmSi. 65. 4.
BṛDharmaP.	398	BṛDharmaP. i. 47. 97;	BṛDharmaP. ii. 4. 7; PraboSu. 158;	BṛDharmaP. i. 35. 28.
ŚivLī.	397	ŚivLī. 6. 37; Gaṅgāva. 8. 84;	ŚivLī. 13. 14.	ŚivLī. 18. 40; {@C@} free from trouble, without a f
GaṇRa.	395	GaṇRa. 1. 9 (24);	105. 13; Liṅgānu.(Vā.) 5. 23; GaṇRa. 4. 280 ( ), 4. 293; SiddhāKau. 248A.	in GaṇRa. 7. 414; also stands for the roots of the pla
Saund.	393	BuddhaC. 6. 59; Saund. 7. 51;	Saund. 4. 16; NāṭyaŚā. 22. 83;	ing Saund. 2. 32; 3. 39; 17. 27;
NyāyBh.	393	NyāyBh. 28. 2 ( i. 1. 15); PāraS.	NyāyBh. 161. 6 ( iii. 1. 4);	NyāyBh. 231. 7 (
ViṣṇuSm.	392	ViṣṇuSm. 3. 60;	ViṣṇuSm. 6. 36; ViṣṇuSm. 18. 4;	ViṣṇuSm. 6. 36; ViṣṇuSm. 18. 4;
PrabaCin.	390	PrabaCin. 99. 4; KumāCaSaṃ. 42. 14;	PrabaCin. 15. 32; Kumā-	PrabaCin. 92. 8 =
TārkiRa.	389	TārkiRa. 249. 8.	VyaktiVi. 114. 23; TārkiRa. 330. 15;	TārkiRa. 106. 7; KhaṇḍanKhā.
VedāntDī.	388	1. 1); VedāntDī.	VedāntDī. 129. 14 ( ii. 3. 45); ŚrīBh. 161. 15	VedāntDī. 129. 10 ( ii. 3. 43)
Kāvyālaṅ.	387	VāsaDa. 196. 1; Kāvyālaṅ.(Ru.) 4. 12 (comm.	(Śaṅ.) 297. 17 ( 10. 41); Kāvyālaṅ.	Kāvyālaṅ.(Bh.) 2. 28.
Ā.	387	NyāyKu. 161. 11; TarkSaṃ(Ā.). 91. 5; {@2@} [as a	(Ā.) 64. 14.	(Ā.) 23. 23; Daṇḍa-
SaurP.	384	LiṅgaP. i. 59. 32; SaurP. 28. 14;	SaurP. 28. 14;	KūrmaP. 230. 1 (1. 21); KalkiP. iii. 3. 17; SaurP.
Vā.	381	Vā. (Sambandha) 702;	(Vā.) 583. 15 ( iii. 2. 68);	Vā. ii. 1. 207;
DīpKa.	378	DīpKa.	DīpKa. 55. 9 ( 2. 120);	DīpKa. 55. 11 ( 2. 121); EI.
AVPari.	378	AVPari.	rised by AVPari. xxxii. 1. 31.	AVPari. 70 (2). 2;
Kapphiṇā.	377	thāŚloSaṃ. 23. 108; Kapphiṇā.	(Ra) 73. 125; RāmC. 4. 66; 14. 61; Kapphiṇā. 11. 11; BṛParāSm. 2. 79;	Kapphiṇā. 4. 5; DevīPañ. 4. 13; NavaSāC.
RugVi.	377	SuśruS. ii. 1. 82; RugVi. 22. 64; KalyāKā. 8. 17;	) = RugVi. 10. 6	CaraS. (ed. 1941) vi. 8. 52 = RugVi. 10. 5.
KandaCū.	375	KandaCū. v. 4. 20;	KandaCū. iii. 4. 22.	KandaCū. vi. 1. 25.
RasāSu.	375	RasāSu. 180. 14	sound ‘hum’ RasāSu. 2. 199.	meekness RasāSu. 12. 11 (1. 69)
ṬupṬ.	374	ṬupṬ. 319. 19 ( xii. 1. 7); 115. 6 ( vi. 3. 2);	ṬupṬ. 223. 11 ( ix. 4. 1);	ṬupṬ. 115. 7 ( vi. 3. 2);
PūrvottaVāNaMā.	374	PūrvottaVāNaMā. 22. 3.	PūrvottaVāNaMā. 292. 9.	PūrvottaVāNaMā. 293. 17; 291. 19;
BhārŚS.	373	ĀpaŚS. ix. 14. 14; x. 22. 3; BhārŚS. ix. 16. 18;	BhārŚS. x. 14. 19; x. 17. 12;	BhārŚS. ii. 11. 4.
Bh.	370	Bh. ii. 246. 19 ( 2. 137);	Bh. 609. 6 ( ii. 3. 20); ,	Bh.(Śrī.) ii. 375. 10 ( iii. 3. 55)
KātanVṛ.	367	KātanVṛ. i. 3. 1; KāśiVṛ. P. i. 1. 14; GaṇRa 1. 9 (	Vṛ. i. 3. 94 = KāśiVṛ. iii. 3. 112 = KātanVṛ. iv. 5. 91;	ṛ. i. 3. 26; Nyās. 1. 228 ( P. i. 3. 26); KātanVṛ.
DharK.	366	DharK. 2858; ParaNā. 7; Tantrābhi. i. 1. 1; Tantrāb	DharK. 28. 58; ParyāŚaRa. 1. 84; AnekāTi. 1. 8; 1.	(DharK. 2441, KośaKaTa. ii. 8677), (NānārthaMa. 18
TantrRaha.	366	SarvaDaKau. 99. 25; TantrRaha.	and knowledge TantrRaha. 7. 18; 8. 25;	TantrRaha. 8. 27 (1); ŚatDū. 123. 19;
SiddhāLeSaṃ.	366	SiddhāLeSaṃ. 184. 8;	SiddhāLeSaṃ. 337. 8; 340. 9; 459. 8;	1. 16); ii. 74. 10 ( ii. 2. 12); SiddhāLeSaṃ. 425. 2; GuruCan. i. 93. 21;
XIV.	366	VājaS. 20. 8; ŚatBr. XIV.	ŚatBr. XIV. i. 3. 10;	ŚatBr. XIV. vii. 1. 21;
HetuBiṬ.	366	HetuBiṬ.	HetuBiṬ. 124. 2;	HetuBiṬ. 48. 13;
BhelaS.	365	3. 60; v. 7. 28; BhelaS. 6. 16 (171. 15); 6. 23 (196. 27); 8. 7 (261.	BhelaS.	13. 79 (1941 Ed.); BhelaS.
ŚaṅkaVi.	361	UjjvaNīMa. 69. 2; ŚaṅkaVi.(Ā.) 27. 4;	ŚaṅkaVi.(Ā.) 112. 19; BhāvPra-	ŚaṅkaVi.(Ā.)
MaYānaSū.	360	MaYānaSū. 18. 4 (4. 23);	MaYānaSū. 80. 6 (12. 9);	MaYānaSū. 119. 12 (17. 8);
RāmāCam.	359	1. 31); BrahmP. 78. 45; LiṅgaP. i. 66. 19; RāmāCam. 1. 71; RāmāMañ.	7. 21; RāmāCam. 2. 28 (2);	RāmāCam. 6. 58;
BaudhDS.	358	BaudhDS. ii. 2. 37;	dhDS. ii. 1. 51; BaudhDS.	BaudhDS. ii. 3. 5;
