siglum	count	ctx1	ctx2	ctx3
JayaMa.	810	JayaMa. 98. 8 ( 2. 2);	KāvyMī. 33. 17; JayaMa. 44. 18 ( 1. 4);	JayaMa. 253. 2 ( 4. 2);
MahāP.	809	MahāP. 12. 183.	MahāP. 22. 221.	SūryŚ. 90; ĀtmaBo. 7. 43; MahāP. 27. 89;
Vār.	798	defined by Kāt. in Vār. on P. iii. 3. 108; P. uses the technical	finite forms; Vār. 1. P. vi. 3. 73 is taken	by Vār. 2 on P. iv. 3. 166 with the loss of the suff
PrakaPañ.	788	4. 13); PrakaPañ. 279. 3;	PrakaPañ. 443. 21; TantrRa. 173. 6	DaśKuC. 147. 2; PrakaPañ. 200. 6;
PadMañ.	784	nasal vowels; extended to ŚivSū.(Gr.) 6; PadMañ.	independent word of negation, cf. Nyās. and PadMañ. on it; a few cases	i. 1. 22; PadMañ. KāśiVṛ. P. i. 2. 45; Prasā. i. 308. 13
Kāvyānu.	779	Kāvyānu.(He.) 329. 7; NānārthaMa.	Kāvyānu.(He.) 329. 6;	Kāvyānu.(He.) 260. 3;
LiṅgaP.	778	LiṅgaP. i. 4. 7; {@Dv@} the auspicious time or perio	LiṅgaP. i. 41. 13; LiṅgaP. i. 5. 29;	LiṅgaP. i. 41. 13; LiṅgaP. i. 5. 29;
Mitā.	774	Mitā.	Mitā. 230. 25 ( 2. 124);	share Mitā. 303. 8 ( 2. 265);
NyāyPari.	768	ŚatDū. 181. 12; NyāyPari. 352. 4;	NyāyPari. 405. 1;	VyaktiVi. 35. 11; NyāyPari. 278. 9;
TattvPradī.	765	TattvPradī.(A.) 198. 7 ( 2. 48)	TattvPradī.(A.) 139. 8 ( 2. 9)	TattvPradī.(A.) 139. 8;
NānārthāSaṃ.	762	. 29; ŚabdaBhePra.(Pu.) 1. 9; MediK. 193. 2; NānārthāSaṃ.	ViśvaLok. 407. 9; NānārthāSaṃ. i. 6. 1; EkārthaNā. 1. 2; NānārthaMa. 11; 12	NānārthāSaṃ. i. 119. 895.
DaśKuC.	760	DaśKuC. 129. 11;	DaśKuC. 50. 5.	DaśKuC. 44. 6;
SāhiDa.	757	SāhiDa.	8. 2; (i. e. of a statement); SāhiDa. 338. 8;	SāhiDa. 587. 12; AṇuBh.
AmaK.	755	(KāśiVṛ.); , Kṣīrasvā. AmaK. 1885;	AgniP. 363. 21; AmaK.(Kṣīra.) reads	) AmaK. 210; Vaija. 214. 6; 18. 15; ViśvaPra. 112. 2
PrabhāC.	754	PrabhāC. 11. 11; 12. 30; 38. 7;	2. 978; PrabhāC. 136. 27; {@C@} foot or leg of	PrabhāC. 34. 12.
PārśvC.	753	PārśvC. 2. 991;	PārśvC. 1. 378;	PārśvC. 5. 132; TantrSā.(K.)
DevīBhāP.	751	DevīBhāP. iii. 7. 45;	DevīBhāP. iii. 13. 43;	iii. 17. 38; DevīBhāP. ii. 6. 47;
NyāyKa.	748	NyāyKa. 43. 22.	NyāyKa. 43. 23;	NyāyMañ. ii. 73. 30; NyāyKa. 150. 24; NyāyKuA. ii. 96. 8;
PauṣkS.	733	PauṣkS. 5. 40;	PauṣkS. 4. 123; {@Fv@} part or	PauṣkS. 5. 234.
MānŚS.	729	MānŚS. VII. i. 1. 21; KāśiVṛ. P. vi. 4. 100;	173. 7 ĀpaŚS. xii. 7. 11 MānŚS. II.	ĀpaŚS. xii. 8. 12; xii. 7. 17; MānŚS. IX. iii. 1. 6;
AbhidhāCin.	722	Saṃ. 2. 457; AbhidhāCin. 13; Abhi-	AbhidhāCin. 96;	AbhidhāRaMā. 2. 111; AbhidhāCin. 1264;
NāṭyaŚā.	716	NāṭyaŚā. 28. 68;	NāṭyaŚā.	NāṭyaŚā. 1. 38. {@2@} having a
TattvSaṃ.	703	TattvSaṃ. 506;	TattvSaṃ. 3;	TattvSaṃ. 2221; YaśasCam. ii.
V.	702	TaiS. V. v. 1. 6; BṛĀraU. i. 4. 16; ChāndoU. vi.	V. vii. 2. 2; ṚV. viii. 3. 16; ix. 22. 3;	ii. 3. 9; ŚatBr. V. iii. 5. 9;
Bhāsk.	696	Bhāsk. i. 110. 17 ( i. 2. 8); BālaṃBha. ii. 253. 2	SiddhāKau. 352B. 2; Bhāsk.	BṛĀraUBhVā. i. 5. 107; Bhāsk. ii. 37. 5 (
NaiṣC.	694	day NaiṣC. 15. 8 (comm. ;	NaiṣC. 6. 7;	16. 39; xii. 24. 61; VikraDeC. 9. 58; NaiṣC. 11. 81;
Kiraṇā.	681	394. 4 ( ii. 2. 10); Kiraṇā. 66. 3 (BSS.); 230. 14 (BSS.);	Kiraṇā. 230. 12 (BSS.);	244. 8 (BSS.); Kiraṇā. 230. 15 (BSS.) = Tark-
ŚrīKaC.	674	2. 14; ŚrīKaC. 5. 43; TriṣaŚaPuC. i. 5. 560;	7; BṛKathāŚloSaṃ. 27. 27; VyaktiVi. 70. 11; ŚrīKaC. 11. 57;	ŚrīKaC. 4. 11;
