siglum	count	class	match_type	dcs_title	display_title
POK.	9	secondary			Pokorny, Indogermanisches etymol. Wörterbuch
PadmaP.	9	primary	residue		
BSS.	9	primary	residue		
SiddhaYo.	9	primary	residue		
KathāMañ.	9	primary	residue		
KeCan.	9	primary	residue		
MatsyP.	9	primary	residue		
HetuBi.	9	primary	residue		
TantrVār.	9	primary	residue		
NirvāU.	9	primary	residue		
MuṇḍU.	9	primary	residue		
AgniveGS.	9	primary	residue		
MarkP.	9	primary	residue		
GopāloTāU.	9	primary	residue		
KāsiVṛ.	9	primary	residue		
Anyo.	9	primary	residue		
Nyāyāmr.	9	primary	residue		
ŚrīRāmaBhuSt.	9	primary	residue		
Poet.	9	primary	residue		
D.	9	structural			
VeSāSaṃ.	9	primary	residue		
Lokokti.	9	primary	residue		
TattvaPrakā.	9	primary	residue		
BhāviP.	9	primary	residue		
AvadhūU.	9	primary	residue		
KoṭiVi.	9	primary	residue		
BhāvU.	9	primary	residue		
VajraSūU.	9	primary	residue		
ŚuśruS.	9	primary	residue		
SiPriSt.	9	primary	residue		
DakṣiMūSt.	9	primary	residue		
RasaRaSa.	9	primary	residue		
BhāṭṭDi.	9	primary	residue		
VṛGautSm.	9	primary	residue		
PrāṇāU.	9	primary	residue		
ApaŚS.	9	primary	residue		
VaitāŚS.	9	primary	residue		
BhāvVi.	9	primary	residue		
Upalekha.	9	primary	residue		
Vācas.	9	primary	residue		
CaturJiSta.	9	primary	residue		
SaubhāLaU.	9	primary	residue		
SaṃgiRa.	9	primary	residue		
Subrahma.	9	primary	residue		
PṛthviVi.	9	primary	residue		
RākṣaKā.	9	primary	residue		
RāC.	9	primary	residue		
NādaBiU.	9	primary	residue		
PuṣpBāVi.	9	primary	residue		
Samaya.	9	primary	residue		
KālikāKa.	9	primary	residue		
BI.	9	primary	residue		
KaC.	9	primary	residue		
ŚṛṅgārāL.	9	primary	residue		
ŚaṅkhalikhitaDS.	9	primary	residue		
ŚātBr.	9	primary	residue		
GautŚi.	9	primary	residue		
Ava.	9	primary	residue		
CāndraVaSū.	8	primary	residue		
NānārthRaMā.	8	primary	residue		
CaturDa.	8	primary	residue		
PāñcRā.	8	primary	residue		
NītiRa.	8	primary	residue		
GuruCan.	8	primary	residue		
Sarakaṇṭhā.	8	primary	residue		
NalaCa.	8	primary	residue		
TātpṬ.	8	primary	residue		
SāṃkhyPraBh.	8	primary	residue		
SrīKaC.	8	primary	residue		
DevaSm.	8	primary	residue		
SvarāṅŚi.	8	primary	residue		
AnyoMuLa.	8	primary	residue		
ŚāṅgaPa.	8	primary	residue		
BhojaPra.	8	primary	residue		
NānārthMañ.	8	primary	residue		
Rāmāṣṭa.	8	primary	residue		
LaRaK.	8	primary	residue		
Rū.	8	primary	residue		
BrahmSphuSi.	8	primary	residue		
LāṅgU.	8	primary	residue		
LakṣmīNṛSt.	8	primary	residue		
ŚukRaU.	8	primary	residue		
SuvarṇaMā.	8	primary	residue		
YāśasCam.	8	primary	residue		
BhagaMāPū.	8	primary	residue		
BhavāBhu.	8	primary	residue		
NārāyUTāU.	8	primary	residue		
SubhāNī.	8	primary	residue		
PārvaPa.	8	primary	residue		
TrisaŚaPuC.	8	primary	residue		
VṛHāriSm.	8	primary	residue		
MāṇḍūU.	8	primary	residue		
BJP.	8	primary	residue		
RatiMañ.	8	primary	residue		
Śaunako.	8	primary	residue		
ŚastrDī.	8	primary	residue		
Kirāṇā.	8	primary	residue		
KāmKaVi.	8	primary	residue		
AnyāŚ.	8	primary	residue		
R.	8	structural			
BrahmaS.	8	primary	residue		
IndSpr.	8	primary	residue		
AitU.	8	primary	residue		
YogCūU.	8	primary	residue		
Rhet.	8	primary	residue		
Cpds.	8	primary	residue		
VVP.	8	primary	residue		
ALS.	8	primary	residue		
PāśSū.	8	primary	residue		
TURN.	7	secondary			Turner, Comparative Dict. of Indo-Aryan
Mahī.	7	primary	residue		
LiṅgP.	7	primary	residue		
BālamBh.	7	primary	residue		
SāstrDī.	7	primary	residue		
SaraRaU.	7	primary	residue		
SaṅkṣeŚā.	7	primary	residue		
BrahmaVaiP.	7	primary	residue		
TaPra.	7	primary	residue		
MahāBhāDī.	7	primary	residue		
RājaTa.	7	primary	residue		
AsṭāSaṃ.	7	primary	residue		
NītiŚā.	7	primary	residue		
ŚāśtrDī.	7	primary	residue		
InduDū.	7	primary	residue		
KaruṇāL.	7	primary	residue		
Sau.	7	primary	residue		
SṛṅgāPra.	7	primary	residue		
KauṣiGS.	7	primary	residue		
ĀtmaBoU.	7	primary	residue		
ŚārṅgPa.	7	primary	residue		
RāmoTāU.	7	primary	residue		
GaṇePañ.	7	primary	residue		
ŚīvārkaMaDī.	7	primary	residue		
VītaRā.	7	primary	residue		
Mītā.	7	primary	residue		
CāndraPari.	7	primary	residue		
JainePari.	7	primary	residue		
ŚivP.	7	primary	residue		
ŚāstraDī.	7	primary	residue		
MāliniT.	7	primary	residue		
Sar.	7	primary	residue		
DrāhyāGS.	7	primary	residue		
BhāDī.	7	primary	residue		
KātyaŚS.	7	primary	residue		
KuṇḍiU.	7	primary	residue		
Tri.	7	primary	residue		
ĀnandL.	7	primary	residue		
Ba.	7	primary	residue		
NirāU.	7	primary	residue		
SaŚa.	7	primary	residue		
ĀśvŚS.	7	primary	residue		
Damaru.	7	primary	residue		
RājNī.	7	primary	residue		
NārāyPūTāU.	7	primary	residue		
Se.	7	primary	residue		
BhavPra.	7	primary	residue		
SimhāDvā.	7	primary	residue		
GautaSm.	7	primary	residue		
ŚivSaṃU.	7	primary	residue		
PiMe.	7	primary	residue		
PuṣpSū.	7	primary	residue		
Jivān.	7	primary	residue		
ŚukraNi.	7	primary	residue		
TilMañ.	7	primary	residue		
Gītālaṅ.	7	primary	residue		
Yadavā.	7	primary	residue		
NyāyK.	7	primary	residue		
MohaMu.	7	primary	residue		
MayānaSū.	7	primary	residue		
TāU.	7	primary	residue		
KaṭhU.	7	primary	residue		
DīpaKa.	7	primary	residue		
Ca.	7	primary	residue		
Dvā.	7	primary	residue		
BhallāŚ.	7	primary	residue		
GaṅeP.	7	primary	residue		
ŚivaS.	7	primary	residue		
ChSS.	7	primary	residue		
SiddhāSiA.	7	primary	residue		
AVPrāyaścitta.	7	primary	residue		
Sg.	6	structural			
ViśvaLok.	6	primary	residue		
Jī.	6	primary	residue		
SaṅgīRa.	6	primary	residue		
VaṃśBr.	6	primary	residue		
BaudhāŚS.	6	primary	residue		
AcyutaRā.	6	primary	residue		
ĪśanŚiPa.	6	primary	residue		
ĪśānŚīPa.	6	primary	residue		
Pat.	6	primary	residue		
CaSaṃ.	6	primary	residue		
DevīBhāgP.	6	primary	residue		
ŚākaṭāPari.	6	primary	residue		
Mār.	6	primary	residue		
Ekāv.	6	primary	residue		
RāmāCaṃ.	6	primary	residue		
NitiVā.	6	primary	residue		
ĀryāSaŚ.	6	primary	residue		
Suratho.	6	primary	residue		
PratybhiVi.	6	primary	residue		
Sphutā.	6	primary	residue		
VidvanMo.	6	primary	residue		
TīlaMañ.	6	primary	residue		
RājeKaPū.	6	primary	residue		
TātpaT.	6	primary	residue		
VeṇiSaṃ.	6	primary	residue		
PaṇḍaC.	6	primary	residue		
Subhāṣī.	6	primary	residue		
ĀśramU.	6	primary	residue		
ŚivārkaMāDī.	6	primary	residue		
KoBh.	6	primary	residue		
AkṣMāU.	6	primary	residue		
ŚivaPāKeSt.	6	primary	residue		
VedāntaKa.	6	primary	residue		
RaghuVaṃ.	6	primary	residue		
KūrmP.	6	primary	residue		
GītāBhā.	6	primary	residue		
KauśīBr.	6	primary	residue		
HāsyaCū.	6	primary	residue		
ŚrīVīraSt.	6	primary	residue		
Subhāsi.	6	primary	residue		
KaDru.	6	primary	residue		
Dhi.	6	primary	residue		
SiddhHe.	6	primary	residue		
RāgVi.	6	primary	residue		
CaitCa.	6	primary	residue		
GītaGo.	6	primary	residue		
SiTrayī.	6	primary	residue		
RaSa.	6	primary	residue		
SītāSva.	6	primary	residue		
ŚṛṅgāŚ.	6	primary	residue		
MaMa.	6	primary	residue		
BhāṭṭaDī.	6	primary	residue		
JābālaU.	6	primary	residue		
AnnaA.	6	primary	residue		
Dv.	6	structural			
Suparṇādhyāya.	6	primary	residue		
Viṃśa.	6	primary	residue		
ViraBhā.	6	primary	residue		
SaraKaṇthā.	6	primary	residue		
PadaPā.	6	primary	residue		
ĀnaMandā.	6	primary	residue		
TSS.	6	primary	residue		
JyotiṣaNi.	6	primary	residue		
Ve.	6	primary	residue		
BrahmaU.	6	primary	residue		
SrutaPra.	6	primary	residue		
Mahābhā.	6	primary	residue		
JānaCaCā.	6	primary	residue		
HaṃsU.	6	primary	residue		
Yo.	6	primary	residue		
Hitop.	6	primary	residue		
IṣṭāSi.	6	primary	residue		
SarvāSi.	6	primary	residue		
Bi.	6	primary	residue		
Śa.	6	primary	residue		
NṛttaSaṃ.	6	primary	residue		
JivanVi.	6	primary	residue		
ṢaṭCakraNi.	6	primary	residue		
ViSaṃ.	6	primary	residue		
Stu.	6	primary	residue		
UBr.	6	primary	residue		
SṛṅgāMañ.	6	primary	residue		
Alaṅ.	6	primary	residue		
MadhyāViSūṬ.	6	primary	residue		
RājT.	6	primary	residue		
ŚivākaMaDī.	6	primary	residue		
PadyaCū.	6	primary	residue		
SadānaU.	6	primary	residue		
SītāU.	6	primary	residue		
KātanPari.	6	primary	residue		
SūryTāU.	6	primary	residue		
DakṣiMūA.	6	primary	residue		
SarvaSāU.	6	primary	residue		
MahāNāU.	6	primary	residue		
KāvyālaṅSūVṛ.	6	primary	residue		
Skt.	5	structural			
Pr.	5	structural			
DaśāvC.	5	primary	residue		
TantraSa.	5	primary	residue		
VakroJi.	5	primary	residue		
Comm.	5	structural			
RaSi.	5	primary	residue		
KhaṇḍanKha.	5	primary	residue		
Bālakrī.	5	primary	residue		
SābaBh.	5	primary	residue		
PītāU.	5	primary	residue		
ĀgniVeGS.	5	primary	residue		
Alt.	5	primary	residue		
SṛṅgāTi.	5	primary	residue		
Śau.	5	primary	residue		
LaṚkTanSaṃ.	5	primary	residue		
BṛAraUBhVā.	5	primary	residue		
Subhaṣi.	5	primary	residue		
ŚāstrDīPra.	5	primary	residue		
ViṭaVṛ.	5	primary	residue		
GilMs.	5	primary	residue		
BṛĀraUBhāVā.	5	primary	residue		
AmaKoUd.	5	primary	residue		
BhāgGī.	5	primary	residue		
PañcaDa.	5	primary	residue		
RāPa.	5	primary	residue		
Vaij.	5	primary	residue		
Kāśī.	5	primary	residue		
Sāk.	5	primary	residue		
SVSaptaLa.	5	primary	residue		
PadMāñ.	5	primary	residue		
VedārthSaṃ.	5	primary	residue		
Nīl.	5	primary	residue		
ŚāraBhuA.	5	primary	residue		
DhaṬ.	5	primary	residue		
ŚaṅkhāŚS.	5	primary	residue		
GaurīDa.	5	primary	residue		
TantraRā.	5	primary	residue		
BrU.	5	primary	residue		
VP.	5	primary	residue		
Nyāyamṛ.	5	primary	residue		
RomāŚ.	5	primary	residue		
GopālaPūTāU.	5	primary	residue		
AśvaŚā.	5	primary	residue		
MudgU.	5	primary	residue		
Dramat.	5	primary	residue		
AcyutA.	5	primary	residue		
Para.	5	primary	residue		
DaṇḍVi.	5	primary	residue		
AryāSaŚa.	5	primary	residue		
ŚkandP.	5	primary	residue		
TājiNi.	5	primary	residue		
MayūMali.	5	primary	residue		
MānaSo.	5	primary	residue		
KaṭhŚrU.	5	primary	residue		
KauṣīU.	5	primary	residue		
NitiSā.	5	primary	residue		
BṛKathaŚloSaṃ.	5	primary	residue		
ŚrīkaC.	5	primary	residue		
SaṃgīPā.	5	primary	residue		
PārŚvC.	5	primary	residue		
BṛkathāŚloSaṃ.	5	primary	residue		
MantrMāSta.	5	primary	residue		
KalpK.	5	primary	residue		
NavSāC.	5	primary	residue		
SārṅgaPa.	5	primary	residue		
LaŚābdeŚe.	5	primary	residue		
ŚaRa.	5	primary	residue		
GotaSt.	5	primary	residue		
KanDhāSt.	5	primary	residue		
PañcTa.	5	primary	residue		
PadmaPrā.	5	primary	residue		
Rañ.	5	primary	residue		
GaṅRa.	5	primary	residue		
MaVākyaU.	5	primary	residue		
Lī.	5	primary	residue		
Yā.	5	primary	residue		
SiSūMañ.	5	primary	residue		
VārāP.	5	primary	residue		
CaturveU.	5	primary	residue		
AuśaSm.	5	primary	residue		
GOS.	5	primary	residue		
NyāySi.	5	primary	residue		
RāghPān.	5	primary	residue		
YamunāA.	5	primary	residue		
HaraṣaC.	5	primary	residue		
IndSt.	5	primary	residue		
M.	5	structural			
SaṃkarKāBh.	5	primary	residue		
NilaP.	5	primary	residue		
PārthaPa.	5	primary	residue		
MantriU.	5	primary	residue		
CūliU.	5	primary	residue		
Vṛtti.	5	primary	residue		
ŚṛṅgāSa.	5	primary	residue		
VastuAva.	5	primary	residue		
UpaniSū.	5	primary	residue		
DevīU.	5	primary	residue		
NārāyU.	5	primary	residue		
DattāU.	5	primary	residue		
CāṇaRāNīŚā.	5	primary	residue		
NirU.	5	primary	residue		
DakṣiMūVaMāSt.	5	primary	residue		
Tp.	5	structural			
ŚrīViṣṇuBhuSt.	5	primary	residue		
Vyu.	5	primary	residue		
ViṣṇuSa.	5	primary	residue		
Mo.	5	primary	residue		
JaiNyāMā.	5	primary	residue		
ŚilpRa.	5	primary	residue		
EkāNā.	4	primary	residue		
Say.	4	primary	residue		
TattvVi.	4	primary	residue		
TarkaSaṃ.	4	primary	residue		
TaSā.	4	primary	residue		
SvātmaNi.	4	primary	residue		
SātvaTa.	4	primary	residue		
Bṛ.	4	structural			
NāṭyŚā.	4	primary	residue		
SātvT.	4	primary	residue		
Var.	4	structural			
AṣṭāSam.	4	primary	residue		
Kīrātā.	4	primary	residue		
Astro.	4	primary	residue		
KaviKaDru.	4	primary	residue		
KāṭhaS.	4	primary	residue		
ṚkPrāti.	4	primary	residue		
NyāyaMañ.	4	primary	residue		
KośaKaT.	4	primary	residue		
BṛĀrUBhVā.	4	primary	residue		
BālaBhā.	4	primary	residue		
Śiva.	4	primary	residue		
MahāBhāṬ.	4	primary	residue		
NalaCaṃ.	4	primary	residue		
NātyaDa.	4	primary	residue		
KundMā.	4	primary	residue		
TantrāKhyā.	4	primary	residue		
ŚāṅkaDigVi.	4	primary	residue		
SāṅkhyaPraBh.	4	primary	residue		
UmāMaSt.	4	primary	residue		
TS.	4	primary	residue		
BṛAraU.	4	primary	residue		
ŚlokaVā.	4	primary	residue		
TātPaṬ.	4	primary	residue		
RamC.	4	primary	residue		
SāṃkhyTaKau.	4	primary	residue		
ŚāstrDi.	4	primary	residue		
ViśvaSta.	4	primary	residue		
Śan.	4	primary	residue		
ViṣṇuDhP.	4	primary	residue		
Tilaka.	4	primary	residue		
MahāBhāsk.	4	primary	residue		
RudrāJābāU.	4	primary	residue		
Lā.	4	primary	residue		
SaṃkseŚā.	4	primary	residue		
BhaṭṭiKā.	4	primary	residue		
AvantiK.	4	primary	residue		
AbhirbuS.	4	primary	residue		
MayūMā.	4	primary	residue		
Pradi.	4	primary	residue		
SūryU.	4	primary	residue		
GopīU.	4	primary	residue		
JaimiBṛ.	4	primary	residue		
BrahmBiU.	4	primary	residue		
IP.	4	primary	residue		
MalinīT.	4	primary	residue		
KośāKaTa.	4	primary	residue		
ṢaḍViBr.	4	primary	residue		
ŚivPañNaMā.	4	primary	residue		
RugVī.	4	primary	residue		
SiddhāHe.	4	primary	residue		
Uda.	4	primary	residue		
Tattvoddyo.	4	primary	residue		
DīnākraSt.	4	primary	residue		
PārśvanāSta.	4	primary	residue		
NyāSu.	4	primary	residue		
TantraRaha.	4	primary	residue		
BilvU.	4	primary	residue		
ManvMu.	4	primary	residue		
TattvPradi.	4	primary	residue		
NyāRaMā.	4	primary	residue		
BrahmaP.	4	primary	residue		
MāPūSt.	4	primary	residue		
DhūrtaviSaṃ.	4	primary	residue		
LāṭyŚS.	4	primary	residue		
Pu.	4	primary	residue		
ŚākatāVyā.	4	primary	residue		
BuddhC.	4	primary	residue		
KāŚi.	4	primary	residue		
ĀnandMaSt.	4	primary	residue		
NitiMā.	4	primary	residue		
ŚāṅkhŚS.	4	primary	residue		
ŚaṅkarKāBh.	4	primary	residue		
VaikhGS.	4	primary	residue		
PramāVārSvopVṛ.	4	primary	residue		
RudrHṛU.	4	primary	residue		
VisṇuP.	4	primary	residue		
Śeṣavā.	4	primary	residue		
PuruṣaPa.	4	primary	residue		
TaiĀr.	4	primary	residue		
RājNītiRa.	4	primary	residue		
LaksmīT.	4	primary	residue		
StaRa.	4	primary	residue		
BālaC.	4	primary	residue		
SiSaṃ.	4	primary	residue		
NyāyMā.	4	primary	residue		
SabdaRaSaK.	4	primary	residue		
KM.	4	primary	residue		
Kavyānu.	4	primary	residue		
ĪśāuŚiPa.	4	primary	residue		
GarbhU.	4	primary	residue		
NāḍiVi.	4	primary	residue		
MāṇḍuŚi.	4	primary	residue		
Medik.	4	primary	residue		
MātaLi.	4	primary	residue		
MādhyaŚi.	4	primary	residue		
ŚiśuVā.	4	primary	residue		
CaṇḍKau.	4	primary	residue		
Edn.	4	primary	residue		
CāṇaSāSaṃ.	4	primary	residue		
PramāKā.	4	primary	residue		
ŚivārkMaDī.	4	primary	residue		
Puṇ.	4	primary	residue		
Amak.	4	primary	residue		
ŚakaṭāVyā.	4	primary	residue		
PaU.	4	primary	residue		
VīSt.	4	primary	residue		
ŚākaṭaVyā.	4	primary	residue		
MeghaDū.	4	primary	residue		
Sta.	4	primary	residue		
ŚarabhU.	4	primary	residue		
VāsuU.	4	primary	residue		
NāU.	4	primary	residue		
BhāvaPra.	4	primary	residue		
BhāṭtDī.	4	primary	residue		
MahāBha.	4	primary	residue		
ŚivLi.	4	primary	residue		
KauśīSū.	4	primary	residue		
JayaMā.	4	primary	residue		
MantraBr.	4	primary	residue		
KāŚiVṛ.	4	primary	residue		
Pañcākhyā.	4	primary	residue		
Cal.	4	primary	residue		
BaudhŚs.	4	primary	residue		
RāRa.	4	primary	residue		
KaṃVā.	4	primary	residue		
PūTāU.	4	primary	residue		
Rāma.	4	primary	residue		
SūVṛ.	4	primary	residue		
LaśabdeŚe.	4	primary	residue		
NāṭyāŚā.	4	primary	residue		
Prabhāc.	4	primary	residue		
YogaU.	4	primary	residue		
SiMañ.	4	primary	residue		
NītīMā.	4	primary	residue		
MaSaṃ.	4	primary	residue		
SāṃkhyaSū.	4	primary	residue		
Ved.	4	structural			
LaṭyāŚS.	4	primary	residue		
ChandasCū.	4	primary	residue		
Vyū.	4	primary	residue		
SambaSi.	4	primary	residue		
BrahmSuBh.	4	primary	residue		
IśopBh.	4	primary	residue		
TantraRa.	4	primary	residue		
IśvaSi.	4	primary	residue		
GāyaU.	4	primary	residue		
BhāVā.	4	primary	residue		
Pros.	4	primary	residue		
PrapañcaMiKha.	4	primary	residue		
TurAU.	4	primary	residue		
MūlaMaKā.	4	primary	residue		
MaNāU.	4	primary	residue		
AśvaŚS.	4	primary	residue		
HirSŚ.	4	primary	residue		
DCPRI.	4	primary	residue		
Alch.	4	primary	residue		
AkṣiU.	4	primary	residue		
ĀtmaU.	4	primary	residue		
BahvṛU.	4	primary	residue		
AmṛBiU.	4	primary	residue		
TaNi.	4	primary	residue		
OI.	4	primary	residue		
Jai.	4	primary	residue		
Nāg.	3	primary	residue		
Rudra.	3	primary	residue		
VādhūDS.	3	primary	residue		
BṛDeśi.	3	primary	residue		
SvarameKa.	3	primary	residue		
HorāṢaṭPañ.	3	primary	residue		
PadaMañ.	3	primary	residue		
DEBR.	3	primary	residue		
EkāU.	3	primary	residue		
GOLD.	3	primary	residue		
NayaSāC.	3	primary	residue		
Tai.	3	primary	residue		
PrabaCi.	3	primary	residue		
Ramā.	3	primary	residue		
NyāyaSu.	3	primary	residue		
Dhūrta.	3	primary	residue		
Gī.	3	primary	residue		
Kāsi.	3	primary	residue		
Dhavalā.	3	primary	residue		
Aprāti.	3	primary	residue		
Abhin.	3	primary	residue		
ParāTrī.	3	primary	residue		
SaṃPañ.	3	primary	residue		
HarṣC.	3	primary	residue		
TaVāNaMā.	3	primary	residue		
DipKa.	3	primary	residue		
ŚābBh.	3	primary	residue		
KathāSāSāg.	3	primary	residue		
RāVār.	3	primary	residue		
KanaDhāSt.	3	primary	residue		
VS.	3	primary	residue		
MahNirVāT.	3	primary	residue		
SamarāSam.	3	primary	residue		
BṛAraUBh.	3	primary	residue		
BṛĀrāUBhVā.	3	primary	residue		
SaduktīKa.	3	primary	residue		
PañcBṛ.	3	primary	residue		
KātyāSm.	3	primary	residue		
NyāySūBh.	3	primary	residue		
JīvanVī.	3	primary	residue		
SākaṭāVyā.	3	primary	residue		
PañcaSi.	3	primary	residue		
BrahmāṇḍaP.	3	primary	residue		
SauraP.	3	primary	residue		
GaṇaRa.	3	primary	residue		
VārāṅgaC.	3	primary	residue		
Karmapradīpa.	3	primary	residue		
GP.	3	primary	residue		
SāṃgīRa.	3	primary	residue		
BiPra.	3	primary	residue		
Gītā.	3	primary	residue		
PauskS.	3	primary	residue		
KālabhaiA.	3	primary	residue		
ŚivDr.	3	primary	residue		
ĪṣṭaSi.	3	primary	residue		
ŚivStu.	3	primary	residue		
NanārthāSaṃ.	3	primary	residue		
AṣṭaSaṃ.	3	primary	residue		
KṛṣṇaA.	3	primary	residue		
PāNi.	3	primary	residue		
SaṃT.	3	primary	residue		
ŚuS.	3	primary	residue		
Instr.	3	structural			
NavasāC.	3	primary	residue		
AdvaiU.	3	primary	residue		
TātpaVr.	3	primary	residue		
UdaySuK.	3	primary	residue		
MānSā.	3	primary	residue		
BṛKāthāŚloSaṃ.	3	primary	residue		
ŚrṅgāMañ.	3	primary	residue		
NaisC.	3	primary	residue		
TriṢaŚaPuC.	3	primary	residue		
MṛtyulāU.	3	primary	residue		
Med.	3	primary	residue		
UjjvaNiMa.	3	primary	residue		
JātaPāri.	3	primary	residue		
SthāṇṬ.	3	primary	residue		
SāhīDa.	3	primary	residue		
Abhidhā.	3	primary	residue		
MayūMāi.	3	primary	residue		
BṛparāSm.	3	primary	residue		
HammiMaKā.	3	primary	residue		
ŚreKa.	3	primary	residue		
VedāKau.	3	primary	residue		
BhePra.	3	primary	residue		
No.	3	structural			
Mṛccha.	3	primary	residue		
MīmāNyāyPra.	3	primary	residue		
RāmaC.	3	primary	residue		
HaṃsaSaṃ.	3	primary	residue		
VīrāMi.	3	primary	residue		
PañcaT.	3	primary	residue		
PādāSt.	3	primary	residue		
UruBha.	3	primary	residue		
ŚrṅgāPra.	3	primary	residue		
SāmViBr.	3	primary	residue		
Mahā.	3	primary	residue		
ŚiśnVa.	3	primary	residue		
MālMā.	3	primary	residue		
DakṣiMūU.	3	primary	residue		
TrikaŚe.	3	primary	residue		
RaghuVā.	3	primary	residue		
AnyoŚ.	3	primary	residue		
Paripar.	3	primary	residue		
CauraPañ.	3	primary	residue		
ṢoU.	3	primary	residue		
IA.	3	primary	residue		
ŚivārKaMaDī.	3	primary	residue		
DharaK.	3	primary	residue		
JAOS.	3	primary	residue		
GaṇīSāSaṃ.	3	primary	residue		
BaudhŚŚ.	3	primary	residue		
AlaṅĀ.	3	primary	residue		
BalamBha.	3	primary	residue		
ŚāhiDa.	3	primary	residue		
Kauntey.	3	primary	residue		
TattVai.	3	primary	residue		
NemīDū.	3	primary	residue		
BṛkathāMañ.	3	primary	residue		
VaiTa.	3	primary	residue		
VedāntDi.	3	primary	residue		
ĀśvGS.	3	primary	residue		
YatindraDī.	3	primary	residue		
DūtaVā.	3	primary	residue		
MāṭhVr.	3	primary	residue		
MāyūMāli.	3	primary	residue		
TaiA.	3	primary	residue		
KaviKaLa.	3	primary	residue		
Vāgbhāṭā.	3	primary	residue		
LāṭyaŚS.	3	primary	residue		
PāṇḍuA.	3	primary	residue		
Anuvyā.	3	primary	residue		
AṣṭāHr.	3	primary	residue		
Tais.	3	primary	residue		
KauṣīBṛ.	3	primary	residue		
GautaDS.	3	primary	residue		
RāghPāṅ.	3	primary	residue		
SthānT.	3	primary	residue		
PramāMi.	3	primary	residue		
Nyāyra.	3	primary	residue		
ŚivaDṛ.	3	primary	residue		
TatpaṬ.	3	primary	residue		
GopaBr.	3	primary	residue		
RatiPra.	3	primary	residue		
AVPrāti.	3	primary	residue		
HanuPañ.	3	primary	residue		
BārhaS.	3	primary	residue		
GaṅgāA.	3	primary	residue		
ViṣamaPaVi.	3	primary	residue		
BṛĀraVBhVā.	3	primary	residue		
NānārthāSam.	3	primary	residue		
ĀraU.	3	primary	residue		
SaṃkhyaPraBh.	3	primary	residue		
YatīndraMaDī.	3	primary	residue		
SūṬ.	3	primary	residue		
BrahmŚūBh.	3	primary	residue		
SarvaDaKan.	3	primary	residue		
Saunda.	3	primary	residue		
RamāMañ.	3	primary	residue		
KaṭhS.	3	primary	residue		
NṛtyaRa.	3	primary	residue		
KāśVṛ.	3	primary	residue		
Viṣṇu.	3	primary	residue		
MayūMālī.	3	primary	residue		
ĀgaPra.	3	primary	residue		
Bho.	3	primary	residue		
Bharat.	3	primary	residue		
CāṇaŚ.	3	primary	residue		
ŚāṅkhaŚS.	3	primary	residue		
BālKrī.	3	primary	residue		
SphoṭaSi.	3	primary	residue		
TattvPraKā.	3	primary	residue		
SāmāraU.	3	primary	residue		
UBhāVā.	3	primary	residue		
NānāMañ.	3	primary	residue		
SvaraMeKa.	3	primary	residue		
ṚVPrāti.	3	primary	residue		
NyāyāMṛ.	3	primary	residue		
GPP.	3	primary	residue		
KhanḍanKhā.	3	primary	residue		
PaC.	3	primary	residue		
MīmāKan.	3	primary	residue		
ŚāṃkhyaPraBh.	3	primary	residue		
Tr.	3	primary	residue		
ManvVi.	3	primary	residue		
ArthŚa.	3	primary	residue		
Kad.	3	primary	residue		
Śak.	3	primary	residue		
SṛṅgāDī.	3	primary	residue		
CaturJīStu.	3	primary	residue		
VyūtpaVā.	3	primary	residue		
Avantika.	3	primary	residue		
SāmaviBr.	3	primary	residue		
IṣtaSi.	3	primary	residue		
RājNiRa.	3	primary	residue		
SahṛLī.	3	primary	residue		
EVP.	3	primary	residue		
Arthśā.	3	primary	residue		
Anu.	3	primary	residue		
ĪśāŚiPa.	3	primary	residue		
TājīNī.	3	primary	residue		
GañjīKhe.	3	primary	residue		
G.	3	structural			
KalyāVṛSta.	3	primary	residue		
Pkt.	3	primary	residue		
ŚivaNāA.	3	primary	residue		
ŚaṅkhāGS.	3	primary	residue		
MugdhBo.	3	primary	residue		
BrahmāṇdP.	3	primary	residue		
Tantr.	3	primary	residue		
CāndraVr.	3	primary	residue		
NṛsiṃṢaCaU.	3	primary	residue		
KālāgniU.	3	primary	residue		
YatīndrDī.	3	primary	residue		
AkṣaMāU.	3	primary	residue		
RudraJābāU.	3	primary	residue		
BrahmU.	3	primary	residue		
Avy.	3	primary	residue		
VIJ.	3	primary	residue		
KāṭhŚS.	3	primary	residue		
ĀthaDviU.	3	primary	residue		
HaṃsṢoU.	3	primary	residue		
HerU.	3	primary	residue		
HirŚŚ.	3	primary	residue		
ParaHaṃsU.	3	primary	residue		
GāruU.	3	primary	residue		
Pāṭha.	3	primary	residue		
DvaU.	3	primary	residue		
BhārPariśeṣaSū.	3	primary	residue		
MB.	3	primary	residue		
LiDS.	3	primary	residue		
SmrtiCan.	3	primary	residue		
UdyaSuKa.	3	primary	residue		
RāsāSu.	3	primary	residue		
SaṃkṣaŚā.	3	primary	residue		
ŚivaU.	3	primary	residue		
Ei.	3	primary	residue		
MīmaSū.	3	primary	residue		
SūryaTāU.	3	primary	residue		
Av.	3	primary	residue		
LaŚabdeSe.	3	primary	residue		
ŚrṅgāBhū.	3	primary	residue		
GopāPūTāU.	3	primary	residue		
SkandU.	3	primary	residue		
ŚaunakaU.	3	primary	residue		
PraṇU.	3	primary	residue		
